2015-04-13,"[turnover    8.716667
dtype: float64, turnover    3.447778
dtype: float64]"
2015-04-14,"[turnover    6.66
dtype: float64, turnover    2.716667
dtype: float64]"
2015-04-15,"[turnover    7.118889
dtype: float64, turnover    2.466667
dtype: float64]"
2015-04-16,"[turnover    5.57
dtype: float64, turnover    1.994444
dtype: float64]"
2015-04-17,"[turnover    6.766667
dtype: float64, turnover    2.217778
dtype: float64]"
2015-04-20,"[turnover    8.42
dtype: float64, turnover    3.091111
dtype: float64]"
2015-04-21,"[turnover    6.568889
dtype: float64, turnover    2.232222
dtype: float64]"
2015-04-22,"[turnover    7.318889
dtype: float64, turnover    2.886667
dtype: float64]"
2015-04-23,"[turnover    6.673333
dtype: float64, turnover    1.964444
dtype: float64]"
2015-04-24,"[turnover    6.052222
dtype: float64, turnover    1.758889
dtype: float64]"
2015-04-27,"[turnover    7.196667
dtype: float64, turnover    2.471111
dtype: float64]"
2015-04-28,"[turnover    6.422222
dtype: float64, turnover    2.711111
dtype: float64]"
2015-04-29,"[turnover    5.673333
dtype: float64, turnover    2.178889
dtype: float64]"
2015-04-30,"[turnover    7.702222
dtype: float64, turnover    2.4
dtype: float64]"
2015-05-04,"[turnover    5.687778
dtype: float64, turnover    1.838889
dtype: float64]"
2015-05-05,"[turnover    6.011111
dtype: float64, turnover    1.862222
dtype: float64]"
2015-05-06,"[turnover    4.578889
dtype: float64, turnover    1.59
dtype: float64]"
2015-05-07,"[turnover    4.377778
dtype: float64, turnover    1.483333
dtype: float64]"
2015-05-08,"[turnover    4.505556
dtype: float64, turnover    1.771111
dtype: float64]"
2015-05-11,"[turnover    5.724444
dtype: float64, turnover    2.433333
dtype: float64]"
2015-05-12,"[turnover    5.737778
dtype: float64, turnover    2.185556
dtype: float64]"
2015-05-13,"[turnover    6.158889
dtype: float64, turnover    2.695556
dtype: float64]"
2015-05-14,"[turnover    6.548889
dtype: float64, turnover    2.125556
dtype: float64]"
2015-05-15,"[turnover    6.288889
dtype: float64, turnover    1.912222
dtype: float64]"
2015-05-18,"[turnover    6.717778
dtype: float64, turnover    2.128889
dtype: float64]"
2015-05-19,"[turnover    6.302222
dtype: float64, turnover    2.026667
dtype: float64]"
2015-05-20,"[turnover    7.373333
dtype: float64, turnover    3.11
dtype: float64]"
2015-05-21,"[turnover    6.791111
dtype: float64, turnover    2.657778
dtype: float64]"
2015-05-22,"[turnover    8.094444
dtype: float64, turnover    2.692222
dtype: float64]"
2015-05-25,"[turnover    10.037778
dtype: float64, turnover    3.232222
dtype: float64]"
2015-05-26,"[turnover    10.178889
dtype: float64, turnover    3.573333
dtype: float64]"
2015-05-27,"[turnover    10.336667
dtype: float64, turnover    3.064444
dtype: float64]"
2015-05-28,"[turnover    11.857778
dtype: float64, turnover    3.643333
dtype: float64]"
2015-05-29,"[turnover    8.094444
dtype: float64, turnover    2.853333
dtype: float64]"
2015-06-01,"[turnover    7.825556
dtype: float64, turnover    2.395556
dtype: float64]"
2015-06-02,"[turnover    7.975556
dtype: float64, turnover    2.702222
dtype: float64]"
2015-06-03,"[turnover    8.207778
dtype: float64, turnover    2.271111
dtype: float64]"
2015-06-04,"[turnover    6.77
dtype: float64, turnover    2.344444
dtype: float64]"
2015-06-05,"[turnover    8.512222
dtype: float64, turnover    2.913333
dtype: float64]"
2015-06-08,"[turnover    9.865556
dtype: float64, turnover    3.435556
dtype: float64]"
2015-06-09,"[turnover    7.885556
dtype: float64, turnover    2.672222
dtype: float64]"
2015-06-10,"[turnover    6.63
dtype: float64, turnover    2.46
dtype: float64]"
2015-06-11,"[turnover    6.325556
dtype: float64, turnover    1.931111
dtype: float64]"
2015-06-12,"[turnover    7.458889
dtype: float64, turnover    2.341111
dtype: float64]"
2015-06-15,"[turnover    7.996667
dtype: float64, turnover    2.205556
dtype: float64]"
2015-06-16,"[turnover    6.822222
dtype: float64, turnover    1.983333
dtype: float64]"
2015-06-17,"[turnover    6.47
dtype: float64, turnover    1.774444
dtype: float64]"
2015-06-18,"[turnover    8.136667
dtype: float64, turnover    1.986667
dtype: float64]"
2015-06-19,"[turnover    5.708889
dtype: float64, turnover    1.774444
dtype: float64]"
2015-06-23,"[turnover    5.476667
dtype: float64, turnover    2.12
dtype: float64]"
2015-06-24,"[turnover    6.405556
dtype: float64, turnover    2.388889
dtype: float64]"
2015-06-25,"[turnover    6.301111
dtype: float64, turnover    2.312222
dtype: float64]"
2015-06-26,"[turnover    4.925556
dtype: float64, turnover    1.96
dtype: float64]"
2015-06-29,"[turnover    6.571111
dtype: float64, turnover    2.674444
dtype: float64]"
2015-06-30,"[turnover    7.203333
dtype: float64, turnover    3.543333
dtype: float64]"
2015-07-01,"[turnover    5.886667
dtype: float64, turnover    2.507778
dtype: float64]"
2015-07-02,"[turnover    6.257778
dtype: float64, turnover    2.497778
dtype: float64]"
2015-07-03,"[turnover    6.74
dtype: float64, turnover    2.734444
dtype: float64]"
2015-07-06,"[turnover    8.302222
dtype: float64, turnover    3.642222
dtype: float64]"
2015-07-07,"[turnover    5.585556
dtype: float64, turnover    0.972222
dtype: float64]"
2015-07-08,"[turnover    9.927778
dtype: float64, turnover    0.417778
dtype: float64]"
2015-07-09,"[turnover    10.506667
dtype: float64, turnover    4.517778
dtype: float64]"
2015-07-10,"[turnover    7.322222
dtype: float64, turnover    2.784444
dtype: float64]"
2015-07-13,"[turnover    10.467778
dtype: float64, turnover    3.218889
dtype: float64]"
2015-07-14,"[turnover    11.652222
dtype: float64, turnover    3.852222
dtype: float64]"
2015-07-15,"[turnover    7.936667
dtype: float64, turnover    3.144444
dtype: float64]"
2015-07-16,"[turnover    6.713333
dtype: float64, turnover    2.631111
dtype: float64]"
2015-07-17,"[turnover    6.52
dtype: float64, turnover    2.626667
dtype: float64]"
2015-07-20,"[turnover    7.163333
dtype: float64, turnover    2.731111
dtype: float64]"
2015-07-21,"[turnover    7.44
dtype: float64, turnover    2.287778
dtype: float64]"
2015-07-22,"[turnover    8.31
dtype: float64, turnover    2.607778
dtype: float64]"
2015-07-23,"[turnover    8.44
dtype: float64, turnover    3.231111
dtype: float64]"
2015-07-24,"[turnover    8.902222
dtype: float64, turnover    3.901111
dtype: float64]"
2015-07-27,"[turnover    7.972222
dtype: float64, turnover    2.681111
dtype: float64]"
2015-07-28,"[turnover    8.973333
dtype: float64, turnover    3.271111
dtype: float64]"
2015-07-29,"[turnover    8.477778
dtype: float64, turnover    2.447778
dtype: float64]"
2015-07-30,"[turnover    8.541111
dtype: float64, turnover    2.217778
dtype: float64]"
2015-07-31,"[turnover    6.311111
dtype: float64, turnover    2.075556
dtype: float64]"
2015-08-03,"[turnover    6.991111
dtype: float64, turnover    2.134444
dtype: float64]"
2015-08-04,"[turnover    6.707778
dtype: float64, turnover    2.002222
dtype: float64]"
2015-08-05,"[turnover    7.432222
dtype: float64, turnover    2.104444
dtype: float64]"
2015-08-06,"[turnover    4.656667
dtype: float64, turnover    1.474444
dtype: float64]"
2015-08-07,"[turnover    5.991111
dtype: float64, turnover    1.857778
dtype: float64]"
2015-08-10,"[turnover    7.632222
dtype: float64, turnover    2.782222
dtype: float64]"
2015-08-11,"[turnover    8.57
dtype: float64, turnover    2.866667
dtype: float64]"
2015-08-12,"[turnover    9.648889
dtype: float64, turnover    2.763333
dtype: float64]"
2015-08-13,"[turnover    11.837778
dtype: float64, turnover    2.767778
dtype: float64]"
2015-08-14,"[turnover    11.613333
dtype: float64, turnover    3.383333
dtype: float64]"
2015-08-17,"[turnover    10.533333
dtype: float64, turnover    3.45
dtype: float64]"
2015-08-18,"[turnover    9.525556
dtype: float64, turnover    3.007778
dtype: float64]"
2015-08-19,"[turnover    8.585556
dtype: float64, turnover    2.628889
dtype: float64]"
2015-08-20,"[turnover    6.224444
dtype: float64, turnover    1.891111
dtype: float64]"
2015-08-21,"[turnover    6.778889
dtype: float64, turnover    2.238889
dtype: float64]"
2015-08-24,"[turnover    4.277778
dtype: float64, turnover    1.886667
dtype: float64]"
2015-08-25,"[turnover    4.343333
dtype: float64, turnover    2.051111
dtype: float64]"
2015-08-26,"[turnover    9.134444
dtype: float64, turnover    3.41
dtype: float64]"
2015-08-27,"[turnover    7.434444
dtype: float64, turnover    2.483333
dtype: float64]"
2015-08-28,"[turnover    8.548889
dtype: float64, turnover    2.182222
dtype: float64]"
2015-08-31,"[turnover    8.121111
dtype: float64, turnover    2.11
dtype: float64]"
2015-09-01,"[turnover    8.715556
dtype: float64, turnover    2.37
dtype: float64]"
2015-09-02,"[turnover    7.34
dtype: float64, turnover    2.584444
dtype: float64]"
2015-09-07,"[turnover    6.958889
dtype: float64, turnover    1.91
dtype: float64]"
2015-09-08,"[turnover    5.964444
dtype: float64, turnover    1.457778
dtype: float64]"
2015-09-09,"[turnover    8.324444
dtype: float64, turnover    2.161111
dtype: float64]"
2015-09-10,"[turnover    6.594444
dtype: float64, turnover    1.487778
dtype: float64]"
2015-09-11,"[turnover    5.695556
dtype: float64, turnover    1.105556
dtype: float64]"
2015-09-14,"[turnover    10.538889
dtype: float64, turnover    1.698889
dtype: float64]"
2015-09-15,"[turnover    6.325556
dtype: float64, turnover    1.346667
dtype: float64]"
2015-09-16,"[turnover    5.852222
dtype: float64, turnover    1.301111
dtype: float64]"
2015-09-17,"[turnover    8.512222
dtype: float64, turnover    1.591111
dtype: float64]"
2015-09-18,"[turnover    8.037778
dtype: float64, turnover    0.91
dtype: float64]"
2015-09-21,"[turnover    6.85
dtype: float64, turnover    1.104444
dtype: float64]"
2015-09-22,"[turnover    10.145556
dtype: float64, turnover    1.625556
dtype: float64]"
2015-09-23,"[turnover    11.386667
dtype: float64, turnover    1.408889
dtype: float64]"
2015-09-24,"[turnover    11.093333
dtype: float64, turnover    1.092222
dtype: float64]"
2015-09-25,"[turnover    8.371111
dtype: float64, turnover    1.294444
dtype: float64]"
