,code,grade
0,300206,-0.0463390494899
0,300207,-0.0434357994735
0,300208,-0.0468093423479
0,300209,-0.0443122960921
0,300210,-0.0374603998021
0,300211,-0.0453587841213
0,300212,-0.0356043621685
0,300213,-0.0479235694596
0,300214,-0.0359662033062
0,300215,-0.0400771502707
0,300216,-0.0490252665588
0,300217,-0.0466049352388
0,300218,0.77557962216
0,300220,-0.0346998873289
0,300221,-0.0486511844808
0,300222,-0.0511587052332
0,300224,-0.0543721002434
0,300225,-0.046976336322
0,300226,-0.0338102529349
0,300228,-0.0470138654736
0,300229,-0.0504993689159
0,300230,-0.0485094880998
0,300231,-0.0445417962082
0,300232,-0.0348746220358
0,300233,-0.0523634819198
0,300234,-0.0441407007191
0,300235,-0.0432862398328
0,300236,-0.0501731110813
0,300237,-0.0413702189662
0,300239,-0.0496176836182
0,300240,-0.0475014653537
0,300241,-0.0417758195949
0,300242,-0.0153921497068
0,300243,-0.0477214541618
0,300244,-0.0515444105946
0,300245,-0.0447478356161
0,300246,-0.0440779187076
0,300247,-0.0331357693217
0,300248,-0.0474366268356
0,300249,-0.0467976452325
0,300250,-0.0459530702763
0,300252,-0.051244372702
0,300253,-0.0503248378833
0,300254,-0.0450424289095
0,300255,-0.0525282279606
0,300257,-0.0532687418782
0,300258,-0.052466910421
0,300260,-0.0448428304087
0,300261,-0.0541323353311
0,300263,-0.0471277814552
