,code,grade
0,2391,-0.0505699153681
0,2392,-0.0512328023895
0,2393,-0.0510155546685
0,2394,-0.0510753749314
0,2395,-0.0504830217332
0,2397,-0.0524334042235
0,2398,-0.0409390819165
0,2399,-0.0548364985795
0,2400,-0.0539404880015
0,2401,-0.0491235631749
0,2402,-0.0335078751577
0,2403,-0.0531231052675
0,2405,-0.0473232343368
0,2406,-0.0485682111678
0,2407,-0.0396959143345
0,2408,-0.0510869405485
0,2409,-0.0473888965881
0,2410,-0.0489713396961
0,2411,-0.0471173030357
0,2412,-0.0517294257519
0,2413,-0.0512471633236
0,2414,-0.051528525399
0,2415,-0.0539118416999
0,2416,-0.0526235649937
0,2417,-0.0493679107175
0,2418,-0.0438952629667
0,2419,-0.0528885266673
0,2420,-0.0510326041117
0,2421,-0.0409848877197
0,2423,-0.0516326182433
0,2424,-0.0506196232274
0,2425,-0.0443189091618
0,2426,-0.0518799372226
0,2427,-0.037873870044
0,2428,-0.0497784422088
0,2429,-0.051880413828
0,2431,-0.0229818542211
0,2432,-0.0426566861734
0,2433,-0.0531250036391
0,2434,-0.0531325061175
0,2435,-0.0523545156445
0,2436,-0.0417906290585
0,2438,-0.0469126156279
0,2439,-0.0510750230445
0,2441,-0.0461538598623
0,2442,-0.0493372971217
0,2443,-0.0420485492298
0,2444,-0.0525037160159
0,2447,-0.237150075235
0,2448,-0.0489218406732
