,code,grade
0,702,-0.0475671696829
0,703,-0.0514694979462
0,705,-0.0390274331148
0,707,-0.0452829495647
0,708,-0.0544701245789
0,709,-0.0535436517761
0,711,-0.0406432680432
0,712,-0.0493625163093
0,715,-0.0519243852292
0,716,-0.0499340256011
0,717,-0.0534404386368
0,718,-0.052546986559
0,719,-0.0518019126552
0,721,-0.0456854301404
0,722,-0.0504104179603
0,723,-0.0504783749292
0,725,-0.0524382458226
0,726,-0.0527550963412
0,727,-0.038447416358
0,728,-0.0464622120452
0,729,-0.0533220359899
0,732,-0.0509397959752
0,733,-0.0485650756077
0,735,-0.0499976545929
0,736,-0.0341691894902
0,737,-0.0452183106697
0,738,-0.0430381895924
0,739,-0.0523807234815
0,748,-0.0482015887471
0,750,-0.0507497034818
0,751,-0.0431689773579
0,752,-0.050232256042
0,753,-0.0526908147406
0,755,-0.0542066708791
0,756,-0.0353965327466
0,759,-0.0530933705804
0,760,-0.0501155089055
0,761,-0.0539935346925
0,762,-0.0471339967064
0,766,-0.0499213778509
0,767,-0.0526223654575
0,768,-0.0517988407643
0,776,-0.05209338291
0,777,-0.0505936946572
0,778,-0.0504294941827
0,779,-0.04966510326
0,780,-0.051264243422
0,782,-0.0478464117645
0,783,-0.0528192785509
0,785,-0.0392830634052
