,code,grade
0,600486,-0.0530992708004
0,600488,-0.0529484859992
0,600489,-0.0505447796932
0,600490,-0.0485496544284
0,600491,-0.0356323759976
0,600493,-0.042955830728
0,600495,-0.0503422257451
0,600496,-0.0458619997567
0,600497,-0.0447149863749
0,600498,-0.0485015883892
0,600500,-0.0535650611531
0,600501,-0.051950178336
0,600502,-0.0438054568938
0,600503,-0.0268281293677
0,600505,-0.0498630025405
0,600507,-0.0525308986702
0,600508,-0.0524679691177
0,600509,-0.0527263009153
0,600510,-0.049248981907
0,600511,-0.0500442695343
0,600512,-0.0383711876644
0,600513,-0.0400554031857
0,600515,-0.0531119045943
0,600516,-0.0280819602493
0,600517,-0.0339799699727
0,600518,-0.0524935057213
0,600519,-0.0530244936
0,600520,-0.0504958028244
0,600521,-0.0527679336451
0,600522,-0.0472603569243
0,600523,-0.0518885643873
0,600525,-0.0534361457464
0,600526,-0.0680635366074
0,600527,-0.0495080068873
0,600528,-0.0508484129815
0,600529,-0.047258514328
0,600530,-0.048496735111
0,600531,-0.0448574086642
0,600532,-0.0515161626838
0,600533,-0.0515304425273
0,600535,-0.051561337547
0,600536,-0.048084906981
0,600537,-0.0481457857258
0,600539,-0.0520713623786
0,600546,-0.0519087830322
0,600547,-0.0498713762352
0,600548,-0.0541865216457
0,600549,-0.0518267377752
0,600550,-0.0535162203331
0,600551,-0.051467751584
