date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,23.1,23.33,22.68,22.28,140782.38,-0.54,-2.33,22.828,22.646,22.727,170431.93,175607.58,176992.38,1.31
2016-09-13,22.56,23.22,23.22,22.4,171495.48,0.66,2.93,22.836,22.688,22.739,185442.01,176898.08,180994.73,1.6
2016-09-12,22.55,22.94,22.56,22.1,169298.34,-0.39,-1.7,22.664,22.675,22.728,180482.98,175202.93,194994.74,1.58
2016-09-09,22.68,23.15,22.95,22.47,174252.16,0.22,0.97,22.578,22.738,22.806,171300.4,177444.63,198804.11,1.62
2016-09-08,22.64,23.2,22.73,22.56,196331.28,0.01,0.04,22.442,22.737,22.831,189028.21,178789.03,198454.42,1.83
2016-09-07,22.44,22.75,22.72,22.25,215832.78,0.36,1.61,22.464,22.782,22.862,180783.23,193571.42,197604.2,2.01
2016-09-06,22.15,22.41,22.36,21.77,146700.36,0.23,1.04,22.54,22.761,22.888,168354.16,185162.16,198371.47,1.37
2016-09-05,22.21,22.52,22.13,22.05,123385.43,-0.14,-0.63,22.686,22.765,22.965,169922.87,185904.38,199148.16,1.15
2016-09-02,22.71,22.77,22.27,21.89,262891.22,-0.57,-2.5,22.898,22.777,23.049,183588.85,188918.2,203223.4,2.45
2016-09-01,23.27,23.39,22.84,22.84,155106.38,-0.26,-1.13,23.032,22.825,23.122,168549.85,174997.37,208635.66,1.45
2016-08-31,22.95,23.2,23.1,22.85,153687.42,0.01,0.04,23.1,22.807,23.112,206359.61,178377.18,209306.59,1.43
