date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,14.91,14.91,14.62,14.42,130840.81,-0.52,-3.44,14.39,13.918,13.672,145003.59,108596.95,94922.15,6.96
2016-09-13,14.49,15.36,15.14,14.25,187866.69,0.83,5.8,14.186,13.799,13.602,138035.46,100631.59,90652.47,9.99
2016-09-12,13.51,15.22,14.31,13.44,198435.09,0.47,3.4,13.83,13.626,13.513,109833.6,89628.82,85659.77,10.56
2016-09-09,13.93,14.24,13.84,13.78,84353.65,-0.2,-1.43,13.638,13.57,13.455,77941.38,75445.87,79608.68,4.49
2016-09-08,13.59,14.26,14.04,13.52,123521.69,0.44,3.23,13.554,13.548,13.403,72668.72,75714.76,77599.62,6.57
2016-09-07,13.3,13.89,13.6,13.3,96000.17,0.24,1.8,13.446,13.463,13.337,72190.32,69972.97,73834.28,5.11
2016-09-06,13.39,13.39,13.36,13.01,46857.4,0.01,0.07,13.412,13.433,13.285,63227.71,67464.99,71259.91,2.49
2016-09-05,13.42,13.54,13.35,13.31,38974,-0.07,-0.52,13.422,13.445,13.259,69424.05,72941.26,71236.08,2.07
2016-09-02,13.38,13.52,13.42,13.29,57990.36,-0.08,-0.59,13.502,13.494,13.236,72950.35,86963,71647.48,3.08
2016-09-01,13.8,14.09,13.5,13.5,121129.65,0.07,0.52,13.542,13.449,13.199,78760.8,87456.67,71066.26,6.44
2016-08-31,13.46,13.57,13.43,13.26,51187.16,0.02,0.15,13.48,13.426,13.154,67755.62,81247.35,67226.04,2.72
