date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,9.73,9.78,9.72,9.29,38048.33,-0.04,-0.41,9.944,10.097,10.174,52836.82,55678.23,91878.75,1.03
2016-09-13,9.75,9.81,9.76,9.66,41389.49,0.05,0.52,10.05,10.176,10.218,59122.14,63340.14,98186.47,1.12
2016-09-12,9.95,10,9.71,9.66,66214.64,-0.43,-4.24,10.15,10.225,10.25,61636.94,64197.5,102392.52,1.8
2016-09-09,10.39,10.44,10.14,10.12,61286.88,-0.25,-2.41,10.236,10.279,10.269,58249.26,65137.31,105206.8,1.66
2016-09-08,10.29,10.39,10.39,10.23,57244.75,0.14,1.37,10.262,10.27,10.259,56086,66159.21,106900.65,1.55
2016-09-07,10.27,10.41,10.25,10.23,69474.92,-0.01,-0.1,10.25,10.237,10.227,58519.65,67591.81,108003.28,1.89
2016-09-06,10.15,10.28,10.26,9.98,53963.53,0.12,1.18,10.302,10.223,10.203,67558.14,67656.82,107903.92,1.46
2016-09-05,10.29,10.34,10.14,10.1,49276.24,-0.13,-1.27,10.3,10.205,10.183,66758.05,76281.03,109264.74,1.34
2016-09-02,10.32,10.4,10.27,10.14,50470.58,-0.06,-0.58,10.322,10.231,10.153,72025.35,87776.25,109071.61,1.37
2016-09-01,10.53,10.53,10.33,10.32,69412.98,-0.18,-1.71,10.278,10.253,10.116,76232.42,117206.87,108919.4,1.88
2016-08-31,10.22,10.57,10.51,10.2,114667.38,0.26,2.54,10.224,10.251,10.082,76663.97,128079.27,108037.5,3.11
