date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,13.5,13.5,13.39,13.21,66948.31,-0.15,-1.11,13.168,12.642,12.27,143377.48,97864.33,79058.39,1.76
2016-09-13,13.66,13.77,13.54,13.31,135683.62,0.07,0.52,12.938,12.528,12.204,137661.04,99102.44,77755.97,3.57
2016-09-12,13.03,13.98,13.46,12.9,235579.22,0.43,3.3,12.68,12.386,12.134,122132.33,93413.99,73452.54,6.2
2016-09-09,12.41,13.37,13.02,12.41,205350.28,0.61,4.92,12.412,12.236,12.069,83991.69,75387.47,64753.99,5.4
2016-09-08,12.2,12.48,12.43,12.19,73325.96,0.18,1.47,12.22,12.13,12.018,55078.8,62068.92,57405.84,1.93
2016-09-07,12.24,12.28,12.24,12.14,38366.13,-0.01,-0.08,12.116,12.075,11.984,52351.18,61165.41,56376.4,1.01
2016-09-06,12.11,12.26,12.25,11.93,58040.08,0.14,1.16,12.118,12.024,11.973,60543.84,61956.25,57781.05,1.53
2016-09-05,12.08,12.18,12.12,12,44875.99,0.07,0.58,12.092,11.972,11.949,64695.65,60796.16,56866.61,1.18
2016-09-02,11.93,12.14,12.06,11.65,60785.82,0.14,1.17,12.06,11.922,11.927,66783.25,62050.44,57486.23,1.6
2016-09-01,12.27,12.31,11.91,11.91,59687.86,-0.34,-2.78,12.04,11.901,11.899,69059.05,59760.35,56777.75,1.57
2016-08-31,12.18,12.36,12.25,12.09,79329.46,0.13,1.07,12.034,11.897,11.886,69979.64,60252.46,56577.38,2.09
