date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,8.01,8.06,8.01,7.88,101057,-0.05,-0.62,8.12,8.274,8.679,152834.35,196130.27,278018.37,1.62
2016-09-13,8.05,8.12,8.06,7.98,105165.56,0.05,0.62,8.198,8.369,8.758,176021.53,248480.75,311099.6,1.69
2016-09-12,7.98,8.2,8.01,7.85,189167.3,-0.1,-1.23,8.278,8.419,8.87,197634.1,260897.23,359927.09,3.04
2016-09-09,8.41,8.44,8.11,8.11,224988.38,-0.3,-3.57,8.366,8.478,8.978,195875.57,258108.17,415121.81,3.62
2016-09-08,8.36,8.5,8.41,8.34,143793.53,0.01,0.12,8.426,8.529,9.068,185486.53,261766.55,457334.68,2.31
2016-09-07,8.45,8.48,8.4,8.35,216992.89,-0.06,-0.71,8.428,8.569,9.098,239426.19,280931.24,470086.36,3.49
2016-09-06,8.45,8.5,8.46,8.3,213228.39,0.01,0.12,8.54,8.652,9.148,320939.97,277821.43,492652.8,3.43
2016-09-05,8.43,8.54,8.45,8.34,180374.66,0.04,0.48,8.56,8.727,9.207,324160.36,282603.78,523014.52,2.9
2016-09-02,8.3,8.56,8.41,8.26,173043.19,-0.01,-0.12,8.59,8.811,9.247,320340.77,292420.81,536588.1,2.78
2016-09-01,8.82,8.84,8.42,8.41,413491.81,-0.54,-6.03,8.632,8.921,9.247,338046.56,320467.53,543232.29,6.65
2016-08-31,8.55,9.29,8.96,8.52,624561.81,0.4,4.67,8.71,9.083,9.243,322436.29,359906.46,534109.88,10.04
