date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,10.65,10.76,10.34,10.16,584959.06,-0.63,-5.74,10.236,9.826,9.788,459012.09,277466.74,201443.38,7.56
2016-09-13,10.6,11.53,10.97,10.56,1073369.62,0.42,3.98,10.078,9.759,9.774,368920.48,227102.99,184203.14,13.88
2016-09-12,9.86,10.55,10.55,9.86,432014.84,0.96,10.01,9.77,9.623,9.732,170742.97,126283.39,145663.28,5.58
2016-09-09,9.74,9.8,9.59,9.58,84923.5,-0.14,-1.44,9.53,9.544,9.706,104771.33,92375.01,145057.16,1.1
2016-09-08,9.53,9.75,9.73,9.52,119793.43,0.18,1.89,9.47,9.534,9.713,106705.27,90874.31,151803,1.55
2016-09-07,9.42,9.73,9.55,9.4,134501.03,0.12,1.27,9.416,9.51,9.701,95921.4,91844.47,154053.02,1.74
2016-09-06,9.32,9.43,9.43,9.19,82482.05,0.08,0.86,9.44,9.523,9.695,85285.49,86095.21,152828.71,1.07
2016-09-05,9.34,9.4,9.35,9.26,102156.63,0.06,0.65,9.476,9.551,9.703,81823.81,87911.51,157246.12,1.32
2016-09-02,9.45,9.53,9.29,9.21,94593.2,-0.17,-1.8,9.558,9.588,9.716,79978.7,95020.03,164563.22,1.22
2016-09-01,9.68,9.69,9.46,9.46,65874.08,-0.21,-2.17,9.598,9.67,9.725,75043.36,99691.78,171018.25,0.85
2016-08-31,9.62,9.78,9.67,9.53,81321.48,0.06,0.62,9.604,9.749,9.725,87767.54,125420.02,182332.88,1.05
