date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,35.14,35.49,34.9,34.68,14106.3,-0.44,-1.25,35.666,35.395,35.06,18607.48,22409.23,20865.51,1.33
2016-09-13,34.99,35.75,35.33,34.98,11912.87,0.48,1.38,36.034,35.436,35.085,28055.73,21967.25,20560.16,1.12
2016-09-12,35.75,35.79,34.85,34.6,25315.5,-1.4,-3.86,36.116,35.43,35.092,31441.98,23371.16,20675.74,2.38
2016-09-09,36.64,37.28,36.22,36.2,16567.54,-0.78,-2.11,36.054,35.529,35.132,28237.33,24742.68,20471.02,1.56
2016-09-08,36.8,37.29,37.03,36.21,25135.21,0.28,0.76,35.636,35.334,35.083,28096.76,25925,20236.65,2.37
2016-09-07,35.7,37.7,36.74,35.7,61347.51,1.1,3.09,35.124,35.049,34.973,26210.97,25322.58,19539.68,5.77
2016-09-06,34.57,35.99,35.74,34.03,28844.14,1.2,3.47,34.838,34.852,34.894,15878.77,21262.25,17524.08,2.71
2016-09-05,34.09,34.82,34.54,34.03,9292.23,0.41,1.2,34.744,34.686,34.823,15300.33,19528.88,16528.86,0.87
2016-09-02,34.56,34.8,34.13,33.8,15864.7,-0.31,-0.9,35.004,34.614,34.807,21248.03,20659.75,16464.51,1.49
2016-09-01,35.36,35.68,34.47,34.33,15706.27,-0.88,-2.49,35.032,34.677,34.778,23753.24,19847.22,16360.78,1.48
2016-08-31,35.14,35.73,35.31,35.14,9686.49,0.04,0.11,34.974,34.725,34.786,24434.18,19321.79,15948.69,0.91
