date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,11.15,11.22,11.07,11.05,82382.96,-0.22,-1.95,11.266,11.332,11.514,110111.73,106296.75,120315.25,1.91
2016-09-13,11.13,11.3,11.29,11.04,118113.83,0.28,2.54,11.338,11.385,11.58,113208.3,105030.25,127491.6,2.74
2016-09-12,11.3,11.33,11.01,11.01,128003.2,-0.51,-4.43,11.356,11.411,11.626,110133.21,101807.54,133771.89,2.97
2016-09-09,11.46,11.77,11.52,11.41,153974.27,0.08,0.7,11.394,11.473,11.69,104444.48,97985.1,144448.37,3.57
2016-09-08,11.4,11.49,11.44,11.35,68084.37,0.01,0.09,11.364,11.497,11.724,94443.38,95854.72,155251.12,1.58
2016-09-07,11.38,11.55,11.43,11.34,97865.85,0.05,0.44,11.398,11.535,11.756,102481.76,103257.3,175797.86,2.27
2016-09-06,11.24,11.39,11.38,11.03,102738.36,0.18,1.61,11.432,11.561,11.76,96852.19,105401.7,178083.78,2.38
2016-09-05,11.37,11.49,11.2,11.2,99559.53,-0.17,-1.5,11.466,11.576,11.772,93481.86,105364.95,183161.58,2.31
2016-09-02,11.6,11.67,11.37,11.31,103968.78,-0.24,-2.07,11.552,11.61,11.782,91525.72,110679.73,184816.58,2.41
2016-09-01,11.58,11.78,11.61,11.52,108276.3,0.01,0.09,11.63,11.656,11.785,97266.05,120918.21,189108.27,2.51
2016-08-31,11.53,11.63,11.6,11.5,69718,0.05,0.43,11.672,11.695,11.771,104032.84,134333.76,189471.4,1.62
