date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,6.34,6.5,6.46,6.3,101818.42,0.05,0.78,6.528,6.537,6.58,147561.66,156164.55,230120.28,1.61
2016-09-13,6.39,6.45,6.41,6.34,71147,0.09,1.42,6.552,6.546,6.568,153754.99,161390.34,232651.69,1.12
2016-09-12,6.4,6.49,6.33,6.3,149193,-0.3,-4.53,6.592,6.553,6.554,168511,167305.12,234004.25,2.36
2016-09-09,6.75,6.77,6.64,6.61,150075.62,-0.16,-2.35,6.65,6.564,6.544,184332.12,167567.27,231995.63,2.37
2016-09-08,6.58,6.93,6.8,6.56,265574.25,0.22,3.34,6.632,6.542,6.515,186471.38,175188.54,227168.24,4.2
2016-09-07,6.56,6.62,6.58,6.51,132785.06,-0.02,-0.3,6.546,6.524,6.473,164767.44,183788.29,217423.36,2.1
2016-09-06,6.58,6.62,6.61,6.43,144927.09,-0.01,-0.15,6.54,6.556,6.444,169025.69,214529.21,213411.91,2.29
2016-09-05,6.51,6.74,6.62,6.49,228298.56,0.07,1.07,6.514,6.617,6.418,166099.23,281690.04,209249.81,3.61
2016-09-02,6.35,6.6,6.55,6.34,160771.92,0.17,2.67,6.478,6.654,6.391,150802.43,305894.62,202042.19,2.54
2016-09-01,6.47,6.61,6.37,6.37,157054.56,-0.17,-2.6,6.452,6.634,6.365,163905.7,306126.36,199559.63,2.48
2016-08-31,6.43,6.61,6.55,6.4,154076.3,0.07,1.08,6.502,6.622,6.342,202809.15,304076,195444.24,2.44
