date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,10.4,10.47,10.33,10.31,205875.8,-0.12,-1.15,10.636,10.834,10.985,259225.53,288399.83,315542.17,0.43
2016-09-13,10.54,10.57,10.45,10.42,176236.17,0,0,10.786,10.919,11.038,277035.24,299178.16,359052.07,0.37
2016-09-12,10.7,10.72,10.45,10.44,454865.62,-0.45,-4.13,10.92,10.986,11.086,306110.27,307889.95,393154.16,0.96
2016-09-09,11.05,11.09,10.9,10.89,285702.16,-0.15,-1.36,11.04,11.046,11.139,277281.13,281371.46,455028.23,0.6
2016-09-08,11.07,11.12,11.05,11.01,173447.92,-0.03,-0.27,11.056,11.064,11.137,279490.5,281997.81,472950.83,0.37
2016-09-07,11.09,11.18,11.08,11.05,294924.31,-0.04,-0.36,11.032,11.076,11.117,317574.12,316051.45,500949.12,0.62
2016-09-06,11.04,11.16,11.12,10.85,321611.34,0.07,0.63,11.052,11.072,11.091,321321.09,310513.27,508483.01,0.68
2016-09-05,11,11.22,11.05,10.99,310719.91,0.07,0.64,11.052,11.068,11.066,309669.64,305822.32,510865.97,0.66
2016-09-02,10.92,11.18,10.98,10.91,296749,0.05,0.46,11.052,11.067,11.043,285461.8,311053.84,511659.02,0.63
2016-09-01,11.19,11.2,10.93,10.93,363866.06,-0.25,-2.24,11.072,11.095,11.018,284505.12,319004.53,521539.12,0.77
2016-08-31,11.12,11.29,11.18,11.08,313659.12,0.06,0.54,11.12,11.136,10.991,314528.78,342684.52,517448.16,0.66
