date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,5.32,5.33,5.31,5.29,118167.41,-0.04,-0.75,5.346,5.364,5.374,226255.83,234963.61,241322.65,0.4
2016-09-13,5.32,5.36,5.34,5.29,207113.58,-0.03,-0.56,5.364,5.368,5.382,253884.95,239671.9,258031.62,0.69
2016-09-12,5.28,5.38,5.36,5.19,462373.69,0.02,0.38,5.376,5.369,5.386,254595.86,234563.59,278150.59,1.55
2016-09-09,5.38,5.41,5.34,5.34,197790.05,-0.04,-0.74,5.382,5.369,5.389,210736.66,205672.43,301799.01,0.66
2016-09-08,5.4,5.41,5.38,5.36,145834.41,-0.02,-0.37,5.392,5.369,5.385,229344.3,202526.34,309823.97,0.49
2016-09-07,5.4,5.43,5.4,5.38,256313,0,0,5.382,5.365,5.376,243671.39,213786.99,312130.35,0.86
2016-09-06,5.39,5.42,5.4,5.34,210668.16,0.01,0.19,5.372,5.363,5.366,225458.86,206246.01,306973.62,0.71
2016-09-05,5.39,5.44,5.39,5.36,243077.67,0.01,0.19,5.362,5.362,5.358,214531.32,209125.74,311298.05,0.81
2016-09-02,5.33,5.39,5.39,5.3,290828.28,0.07,1.32,5.356,5.364,5.349,200608.21,208965.75,308037.4,0.97
2016-09-01,5.35,5.38,5.33,5.32,217469.83,-0.02,-0.37,5.346,5.369,5.338,175708.37,222972.75,300244.58,0.73
2016-08-31,5.36,5.36,5.35,5.31,165250.38,-0.01,-0.19,5.348,5.384,5.332,183902.59,247681.7,296097.72,0.55
