date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,11.91,12.11,12.05,11.9,45501.81,0.08,0.67,12.14,12.295,12.4,64681.24,73984.17,104956.01,0.98
2016-09-13,11.96,12.06,11.97,11.9,42545.31,0.06,0.5,12.224,12.356,12.408,69103.42,77139.84,106228.02,0.92
2016-09-12,12.11,12.22,11.91,11.9,86087.98,-0.39,-3.17,12.348,12.427,12.42,79636.59,82295.56,108012.56,1.86
2016-09-09,12.46,12.46,12.3,12.3,61486.78,-0.17,-1.36,12.424,12.516,12.431,75702.49,88231.44,108457.43,1.33
2016-09-08,12.44,12.53,12.47,12.3,87784.34,0,0,12.426,12.565,12.411,85256.76,108479.64,108719.99,1.89
2016-09-07,12.58,12.63,12.47,12.41,67612.67,-0.12,-0.95,12.45,12.586,12.378,83287.09,128478.98,108481.76,1.46
2016-09-06,12.29,12.62,12.59,12.26,95211.18,0.3,2.44,12.488,12.575,12.358,85176.26,132892.74,107462.63,2.06
2016-09-05,12.36,12.42,12.29,12.27,66417.49,-0.02,-0.16,12.506,12.536,12.335,84954.53,130950.36,105900.94,1.43
2016-09-02,12.6,12.68,12.31,12.25,109258.12,-0.28,-2.22,12.608,12.531,12.327,100760.39,130498.98,105277.77,2.36
2016-09-01,12.68,12.7,12.59,12.53,77935.98,-0.07,-0.55,12.704,12.53,12.312,131702.53,126658.24,103233.95,1.68
2016-08-31,12.69,12.73,12.66,12.53,77058.52,-0.02,-0.16,12.722,12.504,12.281,173670.86,135927.85,101532.48,1.66
