date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,13.76,13.93,13.63,13.47,84680.92,-0.21,-1.52,21.938,24.885,26.653,70516.57,67003.09,86452.63,2.08
2016-09-13,13.42,13.92,13.84,13.41,89393.96,0.43,3.21,24.632,26.395,27.367,73251.96,64180.23,86684.92,2.2
2016-09-12,27.35,27.94,26.82,26.8,65583.03,-0.9,-3.25,27.446,27.875,28.06,68463.9,61376.88,86138.62,3.23
2016-09-09,27.58,27.81,27.72,27.25,55499.64,0.04,0.14,27.662,28.029,28.099,62891.92,62671.58,88233.91,2.73
2016-09-08,26.8,27.7,27.68,26.72,57425.29,0.58,2.14,27.668,28.142,28.063,66046.97,68605.35,87461.18,2.82
2016-09-07,27.91,27.91,27.1,27.1,98357.88,-0.81,-2.9,27.832,28.277,28.02,63489.61,76367.87,87323.53,4.84
2016-09-06,27.9,28.3,27.91,27.48,65453.64,0.01,0.04,28.158,28.386,28.003,55108.49,78672.04,85028.94,3.22
2016-09-05,27.88,28.3,27.9,27.51,37723.14,0.15,0.54,28.304,28.359,27.963,54289.85,81885.66,85790.16,1.86
2016-09-02,28.3,28.7,27.75,27.5,71274.9,-0.75,-2.63,28.396,28.383,27.856,62451.25,97955.66,86241.32,3.51
2016-09-01,28.73,28.98,28.5,28.44,44638.47,-0.23,-0.8,28.616,28.496,27.72,71163.73,104320.08,85157.06,2.2
2016-08-31,28.64,28.81,28.73,28.02,56452.31,0.09,0.31,28.722,28.421,27.58,89246.14,105902.17,84561.13,2.78
