date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,11,11.26,11.15,10.92,56596.83,0.11,1,11.2,11.26,11.392,68288.43,68898.17,71637.74,0.66
2016-09-13,10.92,11.08,11.04,10.92,55450.72,0.14,1.28,11.248,11.288,11.416,71619.75,69389.64,73589.72,0.65
2016-09-12,11.27,11.27,10.9,10.88,107060.24,-0.49,-4.3,11.326,11.334,11.452,76356.2,69102.79,76045.22,1.26
2016-09-09,11.44,11.57,11.39,11.38,59624.34,-0.13,-1.13,11.394,11.397,11.489,66303.33,63742.6,76813.52,0.7
2016-09-08,11.38,11.52,11.52,11.38,62710,0.13,1.14,11.356,11.406,11.49,68152,63731.98,76521.67,0.74
2016-09-07,11.43,11.56,11.39,11.38,73253.45,-0.04,-0.35,11.32,11.399,11.475,69507.91,64480.38,76594.01,0.86
2016-09-06,11.25,11.44,11.43,11.1,79132.96,0.19,1.69,11.328,11.415,11.482,67159.52,64391.94,77262.54,0.93
2016-09-05,11.2,11.42,11.24,11.2,56795.89,0.04,0.36,11.342,11.415,11.489,61849.38,62807.07,78379.66,0.67
2016-09-02,11.27,11.38,11.2,11.15,68867.7,-0.14,-1.24,11.4,11.428,11.493,61181.87,65152.37,79024.4,0.81
2016-09-01,11.43,11.49,11.34,11.32,69489.53,-0.09,-0.79,11.456,11.475,11.491,59311.96,67885.96,79458.06,0.81
2016-08-31,11.51,11.54,11.43,11.28,61511.54,-0.07,-0.61,11.478,11.524,11.49,59452.86,74377.32,80659.91,0.72
