date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,6.7,6.73,6.68,6.62,36390,-0.05,-0.74,6.748,6.788,6.822,79279.53,97334.06,117811.07,0.32
2016-09-13,6.66,6.75,6.72,6.62,61795.62,0.11,1.66,6.774,6.819,6.819,93045.96,105592.64,118545.51,0.54
2016-09-12,6.7,6.73,6.61,6.61,94447.34,-0.22,-3.22,6.794,6.823,6.815,97315.42,105748.01,119065.24,0.82
2016-09-09,6.85,6.9,6.83,6.78,78366.92,-0.07,-1.01,6.826,6.842,6.814,103857.73,102905.18,118613.6,0.68
2016-09-08,6.83,6.95,6.9,6.83,125397.77,0.09,1.32,6.834,6.841,6.795,113867.64,103082.15,116730.62,1.09
2016-09-07,6.82,6.88,6.81,6.77,105222.16,0,0,6.828,6.832,6.77,115388.59,99533.01,112820.27,0.92
2016-09-06,6.75,6.83,6.82,6.67,83142.92,0.06,0.89,6.864,6.846,6.754,118139.33,102907.09,109762.18,0.72
2016-09-05,6.87,6.87,6.77,6.75,127158.9,-0.11,-1.6,6.852,6.846,6.741,114180.6,105754.3,108527.87,1.11
2016-09-02,6.89,6.96,6.87,6.76,128416.44,-0.02,-0.29,6.858,6.854,6.728,101952.63,113888.22,104572.36,1.12
2016-09-01,6.95,6.97,6.87,6.81,133002.55,-0.09,-1.29,6.848,6.875,6.707,92296.65,140238.63,100354.24,1.16
2016-08-31,6.77,7.05,6.99,6.73,118975.82,0.23,3.4,6.836,6.856,6.685,83677.42,138288.07,95305.92,1.04
