date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,21.28,21.68,21.37,21.28,11280.19,-0.16,-0.74,22.088,22.115,21.793,28758.19,36305.67,40355.07,0.54
2016-09-13,21.95,22.08,21.53,21.4,30000.68,-0.32,-1.47,22.454,22.21,21.729,39747.93,38980.95,40935.45,1.45
2016-09-12,21.88,22.19,21.85,21.58,34026.92,-0.93,-4.08,22.608,22.228,21.671,48542.84,38430.54,40735.56,1.64
2016-09-09,22.91,23.56,22.78,22.66,35743.14,-0.13,-0.57,22.552,22.245,21.59,47013.36,39285.78,40346.65,1.72
2016-09-08,23.3,23.41,22.91,22.65,32740.01,-0.29,-1.25,22.306,22.122,21.444,45570.76,38739.81,39869.16,1.58
2016-09-07,22.63,23.8,23.2,22.52,66228.88,0.9,4.04,22.142,21.967,21.281,43853.15,38694.33,39865.7,3.19
2016-09-06,21.63,23.45,22.3,21.63,73975.27,0.73,3.38,21.966,21.802,21.144,38213.98,37012.58,38219.71,3.57
2016-09-05,21.55,22.25,21.57,21.05,26379.48,0.02,0.09,21.848,21.694,21.05,28318.24,33262.72,36102.95,1.27
2016-09-02,21.8,22.07,21.55,21.4,28530.17,-0.54,-2.44,21.938,21.686,20.997,31558.2,36322.54,36692.58,1.38
2016-09-01,22.14,22.28,22.09,21.97,24151.95,-0.23,-1.03,21.938,21.674,20.939,31908.85,44761.68,36859.3,1.16
2016-08-31,21.78,22.55,22.32,21.66,38033.03,0.61,2.81,21.792,21.471,20.856,33535.51,44404.47,37108.09,1.83
