date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,4.94,4.95,4.93,4.9,60601.39,-0.01,-0.2,4.96,4.981,4.993,70519.1,79222.63,77819.61,0.52
2016-09-13,4.95,4.96,4.94,4.92,55254.75,0.01,0.2,4.98,4.984,4.999,78637.18,81228.99,79111.24,0.47
2016-09-12,4.98,4.98,4.93,4.93,72467.53,-0.08,-1.6,5.006,4.984,5.005,90012.67,85548.75,81104.74,0.62
2016-09-09,4.99,5.05,5.01,4.98,61402.59,0.02,0.4,5.026,4.991,5.011,92127.22,82711.45,84108.78,0.53
2016-09-08,5.01,5.01,4.99,4.95,102869.25,-0.03,-0.6,5.014,4.99,5.01,92897.84,81890.72,83275.05,0.88
2016-09-07,5.07,5.1,5.03,5.02,101191.76,-0.04,-0.79,5.002,4.989,5.008,87926.15,78172.31,81017.2,0.87
2016-09-06,5.05,5.08,5.07,4.98,112132.23,0.04,0.8,4.988,4.99,5.006,83820.81,78976.31,79147.01,0.96
2016-09-05,4.96,5.04,5.03,4.96,83040.26,0.08,1.62,4.962,4.987,5.004,81084.84,78390.32,77203.55,0.71
2016-09-02,4.92,4.97,4.95,4.91,65255.72,0.03,0.61,4.956,4.985,5.001,73295.68,75667.49,75724.24,0.56
2016-09-01,4.97,4.97,4.93,4.92,78010.79,-0.03,-0.6,4.966,4.994,5,70883.59,75488.4,74749.16,0.67
2016-08-31,4.95,4.99,4.96,4.93,80665.04,0.01,0.2,4.976,5.005,5.001,68418.48,76416.6,73445.83,0.69
