date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,41.85,42.38,41.95,41.51,9248.92,-0.01,-0.02,42.874,43.867,45.251,14173.21,14976.7,20918.97,2.31
2016-09-13,42.14,42.44,41.96,41.81,11479.33,0.1,0.24,43.404,44.277,45.569,15918.1,15688.86,22972.98,2.87
2016-09-12,43.01,43.2,41.86,41.66,24989.57,-2.14,-4.86,44.102,44.649,45.835,16793.53,15778.41,24396.5,6.25
2016-09-09,44.65,44.7,44,44,14934.72,-0.6,-1.34,44.634,45.039,46.107,14019.78,14585.16,25321,3.73
2016-09-08,44.64,44.88,44.6,44.32,10213.49,0,0,44.712,45.223,46.174,14574.17,15243.19,25872.6,2.55
2016-09-07,45.45,45.56,44.6,44.55,17973.39,-0.85,-1.87,44.86,45.38,46.192,15780.19,16673.2,27196.96,4.49
2016-09-06,44.88,45.48,45.45,43.8,15856.49,0.93,2.09,45.15,45.601,46.312,15459.62,16894.04,29287.53,3.96
2016-09-05,44.35,45.16,44.52,44.33,11120.82,0.13,0.29,45.196,45.756,46.434,14763.29,17540.61,30494.16,2.78
2016-09-02,45.16,45.45,44.39,44.38,17706.65,-0.95,-2.1,45.444,45.959,46.617,15150.53,20635.91,32226.47,4.43
2016-09-01,46.36,46.49,45.34,45.33,16243.58,-0.71,-1.54,45.734,46.415,46.654,15912.2,24782.88,32442.04,4.06
2016-08-31,45.81,46.1,46.05,45.16,16370.54,0.37,0.81,45.9,46.635,46.677,17566.21,26861.25,32786.37,4.09
