date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,7.05,7.1,7.04,7,94497.73,-0.03,-0.42,7.158,7.239,7.329,134832.16,129945.54,136404.57,0.5
2016-09-13,7.12,7.15,7.07,7.05,112474.98,0,0,7.218,7.27,7.362,146382.7,131771.22,153280.29,0.6
2016-09-12,7.23,7.23,7.07,7.07,219130.59,-0.21,-2.88,7.272,7.3,7.383,154367.7,129670.82,158121.26,1.17
2016-09-09,7.34,7.34,7.28,7.27,134053.89,-0.05,-0.68,7.318,7.329,7.405,129513.87,117075.87,160560.66,0.72
2016-09-08,7.33,7.34,7.33,7.3,114003.6,-0.01,-0.14,7.322,7.337,7.41,122339.83,114864.61,161941.29,0.61
2016-09-07,7.33,7.38,7.34,7.31,152250.44,0,0,7.32,7.337,7.408,125058.93,120525.94,162567.6,0.81
2016-09-06,7.29,7.35,7.34,7.25,152399.98,0.04,0.55,7.322,7.345,7.409,117159.74,115714.46,161570.42,0.81
2016-09-05,7.3,7.35,7.3,7.29,94861.42,0,0,7.328,7.353,7.413,104973.93,116928.56,161548.48,0.51
2016-09-02,7.31,7.34,7.3,7.28,98183.69,-0.02,-0.27,7.34,7.367,7.416,104637.88,122333.19,163315.21,0.52
2016-09-01,7.35,7.37,7.32,7.31,127599.12,-0.03,-0.41,7.352,7.391,7.417,107389.38,129511.11,164970.13,0.68
2016-08-31,7.38,7.39,7.35,7.3,112754.48,-0.02,-0.27,7.354,7.418,7.419,115992.96,142863.6,164892.81,0.6
