date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,29.54,29.86,29.7,29.2,14057.17,0.05,0.17,30.288,30.773,31.329,23670.34,24186.47,27111,0.83
2016-09-13,29.57,29.9,29.65,29.4,21591.39,0.11,0.37,30.592,30.961,31.47,27428.72,24960.02,28086.92,1.27
2016-09-12,30.48,30.56,29.54,29.54,36987.46,-1.56,-5.02,30.99,31.153,31.615,29923.19,25100.48,28886.2,2.18
2016-09-09,31.48,31.5,31.1,31.09,20885.13,-0.35,-1.11,31.312,31.337,31.76,25784.66,23373.55,29945.57,1.23
2016-09-08,31.25,31.57,31.45,31.22,24830.53,0.23,0.74,31.316,31.37,31.785,25978.5,24502.14,30286,1.46
2016-09-07,31.65,31.72,31.22,31.14,32849.08,-0.42,-1.33,31.258,31.354,31.787,24702.6,25435.51,30205.75,1.94
2016-09-06,31.22,31.75,31.64,30.61,34063.74,0.49,1.57,31.33,31.428,31.832,22491.32,24436.16,29885.4,2.01
2016-09-05,31.3,31.47,31.15,31.13,16294.82,0.03,0.1,31.316,31.439,31.869,20277.77,23760.24,29923.94,0.96
2016-09-02,31.2,31.45,31.12,31,21854.32,-0.04,-0.13,31.362,31.504,31.898,20962.44,24987.33,30437.86,1.29
2016-09-01,31.57,31.63,31.16,31.13,18451.03,-0.42,-1.33,31.424,31.678,31.912,23025.78,25953.79,30675.33,1.09
2016-08-31,31.63,31.65,31.58,31.07,21792.67,0.01,0.03,31.45,31.884,31.938,26168.43,30035.53,31450.41,1.28
