date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,11.3,11.36,10.88,10.86,1457396.88,-0.59,-5.14,10.786,10.595,10.625,1107546.61,786631.53,711960.25,8.48
2016-09-13,10.49,11.47,11.47,10.49,2002430,1.04,9.97,10.706,10.559,10.644,903336.92,693636.47,688547.34,11.65
2016-09-12,10.45,10.76,10.44,10.35,728218.12,-0.28,-2.61,10.516,10.446,10.639,596800.43,523235.61,667407.81,4.24
2016-09-09,10.42,10.86,10.72,10.42,1027168.75,0.3,2.88,10.492,10.442,10.681,516889.39,482995.56,706085.52,5.97
2016-09-08,10.48,10.58,10.42,10.32,322519.28,-0.05,-0.48,10.394,10.41,10.697,399011.66,419956.94,702137.25,1.88
2016-09-07,10.6,10.64,10.48,10.44,436348.47,-0.05,-0.47,10.404,10.405,10.73,465716.45,441490.62,769180.29,2.54
2016-09-06,10.3,10.58,10.52,10.27,469747.53,0.2,1.94,10.412,10.423,10.755,483936.02,440021.22,822755.13,2.73
2016-09-05,10.28,10.46,10.32,10.26,328662.94,0.08,0.78,10.376,10.446,10.8,449670.79,445611.79,902331.54,1.91
2016-09-02,10.4,10.55,10.23,10.21,437780.06,-0.24,-2.29,10.392,10.486,10.811,449101.72,502684.99,935401.13,2.55
2016-09-01,10.47,10.69,10.47,10.36,656043.25,-0.05,-0.47,10.426,10.593,10.833,440902.23,593478.33,989250.97,3.82
2016-08-31,10.36,10.6,10.52,10.24,527446.31,0.18,1.74,10.406,10.655,10.828,417264.79,637288.98,1026380.49,3.07
