date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,24.02,24.85,24.67,23.78,103858.55,0.23,0.94,25.118,25.793,26.326,97199.37,105429.97,102447.06,5.47
2016-09-13,24.5,24.85,24.46,24.34,74089.23,0.12,0.49,25.508,26.001,26.476,105859.7,105485.75,105824.67,3.9
2016-09-12,25,25,24.35,24.25,114764.3,-1.4,-5.44,25.902,26.193,26.656,108494.01,103441.38,116766.35,6.05
2016-09-09,26.1,26.18,25.77,25.7,112351.87,-0.56,-2.13,26.352,26.392,26.793,106076.48,98678.03,119012.4,5.92
2016-09-08,26.4,26.4,26.34,26.13,80932.91,-0.28,-1.05,26.432,26.462,26.844,105363.31,93944.76,118247.62,4.27
2016-09-07,26.95,27.09,26.62,26.56,147160.17,0.21,0.8,26.468,26.473,26.869,113660.58,95373.94,122134.99,7.76
2016-09-06,26.6,26.61,26.43,26.03,87260.82,-0.16,-0.6,26.494,26.501,26.92,105111.81,89386.96,127282.05,4.6
2016-09-05,26.89,26.9,26.6,26.42,102676.61,0.41,1.56,26.484,26.572,26.928,98388.75,92642.77,128485.65,5.41
2016-09-02,26.66,26.93,26.17,26.14,108786.04,-0.35,-1.32,26.432,26.594,26.924,91279.58,91974.81,135716.6,5.73
2016-09-01,26.62,27.06,26.52,26.5,122419.24,-0.23,-0.86,26.492,26.726,27.023,82526.2,92429.35,139652.38,6.45
2016-08-31,26.15,26.85,26.75,26.04,104416.33,0.37,1.4,26.478,26.858,27.077,77087.31,99464.15,142621.18,5.5
