date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,25.61,25.95,25.68,25.6,11410.07,-0.2,-0.77,26.152,26.36,26.648,13453.73,16696.77,22816.1,0.38
2016-09-13,25.9,26.14,25.88,25.84,7496,0.08,0.31,26.386,26.481,26.697,14477.09,17314.26,23723.88,0.25
2016-09-12,26.12,26.48,25.8,25.78,24837.24,-0.79,-2.97,26.63,26.591,26.742,17929.54,18072.66,24557.94,0.83
2016-09-09,26.8,26.94,26.59,26.59,11657.34,-0.22,-0.82,26.742,26.718,26.794,15170.99,17914.17,25729.98,0.39
2016-09-08,26.98,27.05,26.81,26.52,11868,-0.04,-0.15,26.642,26.771,26.778,18308.5,18407.29,26342.19,0.4
2016-09-07,27.14,27.18,26.85,26.72,16526.89,-0.25,-0.92,26.568,26.81,26.742,19939.8,20290.41,26953.65,0.55
2016-09-06,26.34,27.19,27.1,26.23,24758.25,0.74,2.81,26.576,26.875,26.713,20151.43,23631.28,27576.19,0.83
2016-09-05,26.1,26.46,26.36,26.1,11044.49,0.27,1.03,26.552,26.903,26.695,18215.78,24680.09,28620.65,0.37
2016-09-02,26.48,26.79,26.09,25.9,27344.85,-0.35,-1.32,26.694,26.919,26.674,20657.35,27197.54,29443.05,0.91
2016-09-01,26.95,26.98,26.44,26.44,20024.52,-0.45,-1.67,26.9,26.958,26.644,18506.09,27747.52,31710.69,0.67
2016-08-31,26.87,27.17,26.89,26.7,17585.03,-0.09,-0.33,27.052,26.936,26.581,20641.01,28935.44,32347.56,0.59
