date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,39.8,39.9,38.52,38.01,68175.22,-2.22,-5.45,41.062,41.295,41.431,69594.66,76213.9,87032.7,12.54
2016-09-13,41.91,41.97,40.81,40.6,57098.65,-0.93,-2.23,41.888,41.546,41.535,83501.52,76052.49,88490.59,10.5
2016-09-12,41.72,42.5,41.56,40.5,71356.32,-0.63,-1.49,42,41.686,41.482,89226.61,78423.5,89728.54,13.13
2016-09-09,41.62,42.76,42.29,41.52,73286.27,0.05,0.12,41.912,41.798,41.398,85941.11,79579.72,90637.56,13.48
2016-09-08,42.82,43.5,42.13,41.7,78056.86,-0.53,-1.24,41.774,41.776,41.229,88219.52,82777.61,89931.55,14.36
2016-09-07,41.3,42.99,42.65,41.02,137709.48,1.24,2.99,41.528,41.811,41.04,82833.14,87193.19,89818.89,25.34
2016-09-06,41.1,41.49,41.37,40.17,85724.14,0.02,0.05,41.204,41.712,40.922,68603.46,83413.48,88958.61,15.77
2016-09-05,41.35,41.9,41.12,40.52,54928.79,-0.35,-0.84,41.372,41.764,40.819,67620.39,85610.56,88129.91,10.11
2016-09-02,40.58,41.91,41.6,40.1,84678.32,0.7,1.71,41.684,41.796,40.722,73218.32,96395.53,88747.67,15.58
2016-09-01,40.78,41.28,40.9,40.03,51124.97,-0.26,-0.63,41.778,41.649,40.592,77335.7,95466.44,88205.18,9.41
2016-08-31,42,42,41.03,40.58,66561.1,-1.24,-2.93,42.094,41.567,40.54,91553.23,97851.51,92868.85,12.25
