date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,6.05,6.05,6,5.97,40736.89,-0.06,-0.99,6.116,6.174,6.262,44328.02,53310.53,69990.36,0.44
2016-09-13,6.08,6.1,6.06,6.01,40723.08,0.01,0.17,6.166,6.209,6.277,48776.76,55525.01,72827.47,0.44
2016-09-12,6.1,6.15,6.06,6.05,59068.37,-0.15,-2.42,6.2,6.242,6.284,55007.71,57427.48,74671.72,0.63
2016-09-09,6.22,6.27,6.22,6.2,37816.59,-0.02,-0.32,6.222,6.269,6.291,55666.92,57560.58,77334.75,0.4
2016-09-08,6.25,6.27,6.24,6.19,43295.18,-0.01,-0.16,6.224,6.278,6.289,59464.27,62036.21,78464.52,0.46
2016-09-07,6.23,6.26,6.25,6.18,62980.58,0.01,0.16,6.232,6.287,6.283,62293.04,64503.29,79068.37,0.67
2016-09-06,6.18,6.26,6.23,6.07,71877.82,0.06,0.97,6.252,6.296,6.277,62273.27,68002.18,79021.49,0.77
2016-09-05,6.22,6.28,6.17,6.1,62364.41,-0.06,-0.96,6.284,6.303,6.275,59847.26,68013.67,78866.43,0.67
2016-09-02,6.28,6.3,6.23,6.2,56803.37,-0.04,-0.64,6.316,6.317,6.274,59454.25,67954.45,78411.44,0.61
2016-09-01,6.34,6.36,6.28,6.26,57439.01,-0.06,-0.95,6.332,6.336,6.266,64608.15,74964.95,78650.8,0.61
2016-08-31,6.39,6.39,6.35,6.3,62881.73,-0.03,-0.47,6.342,6.349,6.258,66713.55,86670.19,78780.41,0.67
