date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,19.85,20.07,19.91,19.78,16525.38,-0.02,-0.1,20.274,20.459,20.38,28846.1,34816.61,31536.51,1.2
2016-09-13,19.95,20.15,19.93,19.78,17598.93,0.15,0.76,20.502,20.5,20.394,37569.77,35514.44,31973.28,1.28
2016-09-12,20.12,20.47,19.78,19.75,33633.94,-0.89,-4.31,20.656,20.562,20.413,42555.6,35513.34,32631.28,2.45
2016-09-09,21.04,21.18,20.67,20.67,37713.4,-0.41,-1.95,20.836,20.651,20.44,45116.7,35734.18,32829.34,2.75
2016-09-08,21,21.16,21.08,20.8,38758.87,0.03,0.14,20.802,20.631,20.406,43657.96,36533.68,32154.56,2.82
2016-09-07,20.7,21.14,21.05,20.65,60143.7,0.35,1.69,20.644,20.543,20.343,40787.12,35606.89,31294.81,4.38
2016-09-06,20.57,20.9,20.7,20.26,42528.1,0.02,0.1,20.498,20.452,20.289,33459.11,32599.53,30570.14,3.1
2016-09-05,20.5,21.38,20.68,20.4,46439.44,0.18,0.88,20.468,20.392,20.265,28471.09,30516.84,31065.24,3.38
2016-09-02,20.19,20.69,20.5,20,30419.68,0.21,1.03,20.466,20.331,20.203,26351.65,28557.01,29741.03,2.21
2016-09-01,20.21,20.42,20.29,20.18,24404.67,-0.03,-0.15,20.46,20.3,20.143,29409.41,27662.38,29849.83,1.78
2016-08-31,20.55,20.58,20.32,20.05,23503.67,-0.23,-1.12,20.442,20.301,20.115,30426.67,28256.42,30013.18,1.71
