date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,21.22,21.48,21.2,21.1,54265.26,-0.3,-1.4,21.826,22.009,21.657,101807.52,144490.42,162881.25,1.18
2016-09-13,21.4,21.64,21.5,21.1,88349.55,0.22,1.03,22.156,22.015,21.644,133983.11,153092.05,167360.73,1.93
2016-09-12,21.88,21.88,21.28,20.9,153397.55,-1.07,-4.79,22.456,21.968,21.609,170914.58,157635.8,171332.4,3.34
2016-09-09,22.85,22.96,22.35,22.15,108598.01,-0.45,-1.97,22.602,21.94,21.552,178073.14,164492.36,176221.01,2.37
2016-09-08,22.72,23.03,22.8,22.55,104427.24,-0.05,-0.22,22.452,21.868,21.44,180722.78,204525.81,183347.97,2.28
2016-09-07,23.03,23.35,22.85,22.62,215143.19,-0.15,-0.65,22.192,21.793,21.227,187173.32,207461.9,183553.42,4.69
2016-09-06,22.01,23.48,23,21.82,273006.91,0.99,4.5,21.874,21.693,21.035,172201,200627.78,178825.93,5.95
2016-09-05,21.6,22.36,22.01,21.46,189190.33,0.41,1.9,21.48,21.538,20.832,144357.02,190009.83,171753.74,4.12
2016-09-02,21.48,21.85,21.6,20.86,121846.24,0.1,0.47,21.278,21.472,20.68,150911.59,186616.24,170420.17,2.66
2016-09-01,21.26,22.17,21.5,21.15,136679.91,0.24,1.13,21.284,21.37,20.524,228328.84,185104.61,173101.32,2.98
2016-08-31,20.9,21.5,21.26,20.71,140281.59,0.23,1.09,21.394,21.304,20.333,227750.49,181272.09,169181.78,3.06
