date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,7.4,7.79,7.69,7.39,134786.88,0.22,2.94,7.578,7.492,7.501,102108.58,80465.02,69645.32,2.88
2016-09-13,7.46,7.49,7.47,7.39,39511.97,0.06,0.81,7.528,7.453,7.498,87753.08,72990.35,66808.78,0.84
2016-09-12,7.56,7.57,7.41,7.4,88176.1,-0.25,-3.26,7.534,7.448,7.508,91426.93,74169.02,69778.2,1.88
2016-09-09,7.65,7.84,7.66,7.6,132872.66,0,0,7.548,7.457,7.511,87277.15,72419.44,69526.26,2.84
2016-09-08,7.5,7.66,7.66,7.44,115195.31,0.22,2.96,7.48,7.453,7.493,70714.47,66048.77,64939.49,2.46
2016-09-07,7.5,7.57,7.44,7.44,63009.34,-0.06,-0.8,7.406,7.436,7.47,58821.46,60655.05,61520.37,1.34
2016-09-06,7.46,7.52,7.5,7.35,57881.22,0.02,0.27,7.378,7.451,7.465,58227.62,59409,61666.21,1.24
2016-09-05,7.36,7.5,7.48,7.3,67427.21,0.16,2.19,7.362,7.451,7.458,56911.12,57985.55,61380.26,1.44
2016-09-02,7.26,7.43,7.32,7.26,50059.27,0.03,0.41,7.366,7.453,7.446,57561.72,57180.23,59880.85,1.07
2016-09-01,7.3,7.39,7.29,7.21,55730.28,-0.01,-0.14,7.426,7.477,7.436,61383.07,57267.61,59098.75,1.19
2016-08-31,7.43,7.43,7.3,7.28,60040.12,-0.12,-1.62,7.466,7.51,7.433,62488.63,58825.62,58187.05,1.64
