date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,10.43,10.57,10.52,10.3,92095.58,0.02,0.19,10.686,10.398,9.943,201534.19,215316.87,176799.61,1.45
2016-09-13,10.5,10.78,10.5,10.38,180659.27,0.14,1.35,10.74,10.341,9.875,271234.96,223025.88,176514.7,2.85
2016-09-12,10.55,10.78,10.36,10.34,184843.81,-0.48,-4.43,10.728,10.265,9.809,295266.92,220113.84,173080.42,2.92
2016-09-09,11.1,11.18,10.84,10.8,224057.81,-0.37,-3.3,10.606,10.214,9.749,282530.62,226830.79,169800.67,3.54
2016-09-08,10.76,11.3,11.21,10.54,326014.47,0.42,3.89,10.358,10.078,9.66,271185.27,218166.45,162214.12,5.15
2016-09-07,10.41,11.4,10.79,10.31,440599.44,0.35,3.35,10.11,9.884,9.549,229099.56,195547.09,152896.67,6.96
2016-09-06,9.75,10.44,10.44,9.51,300819.06,0.69,7.08,9.942,9.751,9.47,174816.8,162239.73,144575.86,4.75
2016-09-05,9.67,9.92,9.75,9.55,121162.32,0.15,1.56,9.802,9.647,9.379,144960.77,143542.26,132668.01,1.91
2016-09-02,10.03,10.03,9.6,9.54,167331.06,-0.37,-3.71,9.822,9.607,9.32,171130.95,149307.88,131677.4,2.64
2016-09-01,10,10.13,9.97,9.87,115585.92,0.02,0.2,9.798,9.561,9.271,165147.62,139904.97,127807.99,1.83
2016-08-31,9.65,10.14,9.95,9.65,169185.66,0.21,2.16,9.658,9.488,9.214,161994.61,138282.34,128565.51,2.67
