date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,19.33,19.48,19.24,19.11,38113.15,-0.16,-0.82,19.89,20.404,20.506,71381.71,85316.87,108835.59,0.72
2016-09-13,19.67,19.74,19.4,19.19,71379.83,-0.11,-0.56,20.194,20.55,20.558,84116.04,88691.43,115726.55,1.34
2016-09-12,20,20.09,19.51,19.5,107130.24,-0.97,-4.74,20.53,20.695,20.601,89432.44,92673.21,118199.95,2.02
2016-09-09,20.7,20.94,20.48,20.48,76570.98,-0.34,-1.63,20.838,20.849,20.623,84614.03,96076.2,118717.72,1.44
2016-09-08,20.88,21.1,20.82,20.65,63714.33,0.06,0.29,20.912,20.91,20.564,87068.9,106566.48,118773.2,1.2
2016-09-07,21.16,21.42,20.76,20.76,101784.83,-0.32,-1.52,20.918,20.937,20.473,99252.03,125687.78,118337.93,1.92
2016-09-06,20.99,21.2,21.08,20.58,97961.8,0.03,0.14,20.906,21.036,20.39,93266.82,143622.01,115675.01,1.84
2016-09-05,20.88,21.09,21.05,20.67,83038.19,0.2,0.96,20.86,20.905,20.303,95913.98,140593.6,113142.62,1.56
2016-09-02,20.7,21.16,20.85,20.54,88845.35,0,0,20.86,20.772,20.208,107538.37,137462.11,111678.96,1.67
2016-09-01,20.7,21.49,20.85,20.7,124629.96,0.15,0.72,20.908,20.687,20.112,126064.05,134094.73,109846.12,2.35
2016-08-31,20.71,20.95,20.7,20.46,71858.82,-0.15,-0.72,20.956,20.607,20.025,152123.53,132354.32,106008.6,1.35
