date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,26.68,26.74,26.41,26.41,4870,-0.29,-1.09,27.238,27.484,27.453,5526.69,6026.04,6393.17,0.38
2016-09-13,26.56,27.08,26.71,26.56,5165.15,-0.02,-0.07,27.608,27.582,27.506,6612.72,6115.89,6677.84,0.4
2016-09-12,27.25,27.4,26.73,26.73,9637.1,-1.41,-5.01,27.882,27.644,27.503,7251.25,7237.58,7019.59,0.74
2016-09-09,28.44,28.7,28.19,28.1,3641.01,0.05,0.18,28.064,27.758,27.436,6632.83,6630.36,6743.54,0.28
2016-09-08,28.2,28.23,28.15,27.9,4320.21,-0.09,-0.32,27.898,27.714,27.295,6947.42,6592.56,6727.88,0.33
2016-09-07,28.09,28.36,28.26,28.08,10300.11,0.17,0.6,27.73,27.641,27.117,6525.38,6487.87,6795.97,0.79
2016-09-06,27.5,28.44,28.08,27.31,8357.8,0.48,1.74,27.556,27.573,26.952,5619.06,6055.4,6479.2,0.64
2016-09-05,27.26,27.65,27.64,27.05,6545,0.28,1.02,27.406,27.481,26.806,7223.91,6041.77,6113.21,0.5
2016-09-02,27.11,27.58,27.36,27.11,5214,0.05,0.18,27.452,27.436,26.681,6627.89,6267.47,5973.22,0.4
2016-09-01,27.68,27.68,27.31,27.2,2209.98,-0.08,-0.29,27.53,27.426,26.581,6237.69,6572.43,6299.64,0.17
2016-08-31,27.1,27.5,27.39,27.1,5768.5,0.11,0.4,27.552,27.421,26.424,6450.37,6760.31,6260.66,0.44
