date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,14.45,14.6,14.35,14.3,24361.14,-0.19,-1.31,14.664,14.75,15.055,23559.92,29026.48,31907.59,0.84
2016-09-13,14.56,14.72,14.54,14.43,19771.58,0.03,0.21,14.812,14.814,15.119,29028.48,29347.21,32122.94,0.68
2016-09-12,14.8,14.8,14.51,14.45,27709.22,-0.42,-2.81,14.89,14.877,15.184,30647.11,29462.46,32450.63,0.96
2016-09-09,14.92,15.14,14.93,14.85,23540.73,-0.06,-0.4,14.932,14.941,15.247,30805.22,29055.79,32750.8,0.81
2016-09-08,15.01,15.19,14.99,14.93,22416.91,-0.1,-0.66,14.866,14.956,15.273,34231.16,31855.76,32658.37,0.78
2016-09-07,14.95,15.35,15.09,14.95,51703.98,0.16,1.07,14.836,14.975,15.287,34493.04,35392.14,32550.42,1.79
2016-09-06,14.61,14.94,14.93,14.51,27864.73,0.21,1.43,14.816,15.043,15.298,29665.94,33068.86,31335.54,0.96
2016-09-05,14.65,14.89,14.72,14.6,28499.74,0.12,0.82,14.864,15.139,15.333,28277.81,34995.08,31030.96,0.99
2016-09-02,14.77,14.9,14.6,14.51,40670.43,-0.24,-1.62,14.95,15.217,15.371,27306.36,35469.07,31224.75,1.41
2016-09-01,14.98,15.09,14.84,14.84,23726.33,-0.15,-1,15.046,15.292,15.424,29480.36,35047.95,30937.76,0.82
2016-08-31,15.2,15.21,14.99,14.91,27568.48,-0.18,-1.19,15.114,15.36,15.49,36291.23,34788.71,31660.22,0.95
