date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,25.07,25.08,24.9,24.85,10090.33,-0.16,-0.64,25.356,25.593,25.54,16667.98,27049.13,27747.82,0.64
2016-09-13,25.24,25.32,25.06,24.82,9192.88,0.06,0.24,25.578,25.638,25.596,21484.24,27702.85,29291.42,0.58
2016-09-12,25.01,25.32,25,24.78,23447.25,-0.7,-2.72,25.92,25.661,25.628,31520.43,27798.79,30479.22,1.49
2016-09-09,26.18,26.38,25.7,25.7,16915.28,-0.42,-1.61,26.14,25.682,25.667,35648.92,26642.26,31421.43,1.07
2016-09-08,26.24,26.68,26.12,26.1,23694.18,0.11,0.42,26.078,25.639,25.671,38007.36,27460.09,32985.38,1.5
2016-09-07,26.4,26.68,26.01,25.9,34171.6,-0.76,-2.84,25.83,25.508,25.655,37430.27,26859.47,37394.03,2.17
2016-09-06,26.11,27.25,26.77,25.63,59373.83,0.67,2.57,25.698,25.437,25.585,33921.45,24880.57,37860.89,3.77
2016-09-05,25.35,26.27,26.1,24.51,44089.7,0.71,2.8,25.402,25.309,25.449,24077.15,23496.37,35914.92,2.8
2016-09-02,24.76,25.4,25.39,24.5,28707.51,0.51,2.05,25.224,25.263,25.331,17635.61,23463.48,34574.21,1.82
2016-09-01,25.08,25.35,24.88,24.51,20808.73,-0.47,-1.85,25.2,25.384,25.227,16912.81,25855.41,34000.41,1.32
2016-08-31,25.27,25.56,25.35,24.95,16627.5,0.06,0.24,25.186,25.486,25.172,16288.67,28446.5,34008.61,1.05
