date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,9.91,10.18,10.01,9.86,114123.95,-0.01,-0.1,10.23,10.471,10.846,130661.1,136173.03,185879.24,1.55
2016-09-13,9.97,10.07,10.02,9.92,97953.05,0.09,0.91,10.358,10.549,10.957,131066.91,141206.38,206122.41,1.33
2016-09-12,10.2,10.25,9.92,9.9,197025.09,-0.6,-5.7,10.504,10.637,11.032,149578.59,139784.5,214335.9,2.67
2016-09-09,10.67,10.7,10.51,10.5,114248.62,-0.18,-1.68,10.656,10.735,11.105,130637.81,132487.11,217312.38,1.55
2016-09-08,10.62,10.75,10.69,10.51,129954.81,0.04,0.38,10.686,10.787,11.138,134545.52,141653.79,217867.66,1.76
2016-09-07,10.75,10.76,10.65,10.62,116152.97,-0.09,-0.84,10.712,10.816,11.157,141684.97,149629.45,220051.54,1.57
2016-09-06,10.65,10.75,10.75,10.32,190511.47,0.07,0.66,10.74,10.841,11.187,151345.86,159213.99,222952.71,2.58
2016-09-05,10.7,10.81,10.68,10.62,102321.18,0.02,0.19,10.77,10.869,11.215,129990.41,189598.49,223440.4,1.39
2016-09-02,10.75,10.83,10.66,10.61,133787.16,-0.18,-1.66,10.814,10.978,11.234,134336.41,208454.11,227128.38,1.81
2016-09-01,10.8,11.04,10.82,10.73,165652.05,0.03,0.28,10.888,11.112,11.255,148762.05,220772.34,229636.35,2.24
2016-08-31,10.88,10.9,10.79,10.59,164457.42,-0.11,-1.01,10.92,11.22,11.281,157573.94,235585.45,233378.48,2.23
