date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,12.79,12.79,12.36,12.28,103587.35,-0.48,-3.74,12.844,12.937,12.655,139103.88,220440.52,201934.66,1.51
2016-09-13,12.78,13.1,12.84,12.61,119174.81,0.18,1.42,13.008,12.951,12.659,154925.57,222715.94,221836.34,1.74
2016-09-12,12.86,12.86,12.66,12.52,127747.88,-0.33,-2.54,13.138,12.935,12.608,193696.45,224433.56,229691.15,1.86
2016-09-09,13.43,13.45,13,12.92,148084.23,-0.35,-2.62,13.222,12.959,12.534,246606.43,230516.88,236475.93,2.16
2016-09-08,13.19,13.68,13.36,13.03,196925.14,0.18,1.37,13.282,12.882,12.431,317271.81,229893.27,238377.26,2.87
2016-09-07,13.22,13.42,13.18,13.11,182695.8,-0.3,-2.23,13.03,12.721,12.291,301777.15,221397.32,234814.62,2.66
2016-09-06,13.25,13.88,13.49,13.17,313029.19,0.39,2.98,12.894,12.597,12.179,290506.3,214938.14,231563.8,4.56
2016-09-05,13.5,13.7,13.08,13.06,392297.78,-0.22,-1.65,12.732,12.472,12.062,255170.68,194134.52,224773.25,5.71
2016-09-02,12.49,13.3,13.3,12.49,501411.12,1.21,10.01,12.696,12.372,11.973,214427.33,172012.97,220188.76,7.3
2016-09-01,12.4,12.62,12.1,12.07,119451.87,-0.39,-3.12,12.482,12.321,11.829,142514.73,150861.08,202247.38,1.74
2016-08-31,12.59,12.86,12.5,12.41,126341.55,-0.15,-1.19,12.412,12.372,11.727,141017.49,183428.8,199488.99,1.84
