date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,4.56,4.74,4.67,4.56,419918.88,0.09,1.97,4.54,4.452,4.404,336852.15,235672.16,177980.07,4.09
2016-09-13,4.51,4.64,4.58,4.51,359942.31,0,0,4.486,4.421,4.391,288130.73,201941.29,165200.59,3.51
2016-09-12,4.41,4.65,4.58,4.29,586710.75,0.13,2.92,4.458,4.399,4.381,277214.8,174630.81,156942.55,5.71
2016-09-09,4.42,4.47,4.45,4.41,179811.03,0.03,0.68,4.41,4.376,4.37,171587.78,124086.95,142761.83,1.75
2016-09-08,4.41,4.44,4.42,4.38,137877.8,0.02,0.46,4.384,4.364,4.36,148724.19,116802.94,138195.24,1.34
2016-09-07,4.43,4.47,4.4,4.4,176311.77,-0.04,-0.9,4.364,4.351,4.349,134492.17,116172.62,136311.16,1.72
2016-09-06,4.34,4.49,4.44,4.32,305362.66,0.1,2.3,4.356,4.348,4.339,115751.84,112612.14,132418.43,2.97
2016-09-05,4.32,4.36,4.34,4.31,58575.62,0.02,0.46,4.34,4.345,4.33,72046.83,101962.99,122815.37,0.57
2016-09-02,4.32,4.34,4.32,4.28,65493.08,0,0,4.342,4.345,4.325,76586.13,107047.32,125361.03,0.64
2016-09-01,4.35,4.36,4.32,4.31,66717.74,-0.04,-0.92,4.344,4.348,4.317,84881.69,113919.18,127050.55,0.65
2016-08-31,4.39,4.4,4.36,4.34,82610.1,0,0,4.338,4.355,4.308,97853.06,120287.98,127167.59,0.8
