date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,32.13,32.37,32.35,31.56,12053.99,0.03,0.09,32.578,32.31,32.255,21904.58,22390.73,23768.11,0.39
2016-09-13,32.11,32.54,32.33,32,10337.36,0.24,0.75,32.574,32.365,32.263,24407.11,25292.1,24488.07,0.33
2016-09-12,32.96,33.16,32.08,32.06,22489.91,-1.26,-3.78,32.524,32.339,32.287,27792.37,25600.61,25413.97,0.73
2016-09-09,32.78,33.99,33.33,32.55,48035.85,0.55,1.68,32.408,32.337,32.325,27005.45,25325.47,25874.14,1.55
2016-09-08,32.31,32.8,32.8,31.97,16605.77,0.49,1.52,32.092,32.261,32.288,22756.6,24753.78,24701.83,0.54
2016-09-07,32.09,32.89,32.33,32.09,24566.68,0.25,0.78,32.042,32.106,32.273,22876.88,26345.34,25729.76,0.79
2016-09-06,31.72,32.2,32.08,31.05,27263.65,0.51,1.61,32.156,32.094,32.343,26177.08,25574.11,27366.17,0.88
2016-09-05,31.88,32.22,31.5,31.5,18555.3,-0.22,-0.69,32.154,32.139,32.435,23408.86,24427.43,30218.74,0.6
2016-09-02,32.41,32.79,31.75,31.6,26791.61,-0.78,-2.4,32.266,32.196,32.452,23645.48,24572.56,31575.02,0.86
2016-09-01,32.98,33,32.55,32.5,17207.17,-0.35,-1.06,32.43,32.215,32.393,26750.96,24274.97,31498.73,0.56
2016-08-31,32.21,33.1,32.9,32.09,41067.68,0.83,2.59,32.17,32.2,32.293,29813.81,25145.5,32435.75,1.33
