date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,16.12,16.48,16.33,16,28504.88,0.18,1.11,16.548,16.739,17.383,36178.53,41305.52,58669.5,1.48
2016-09-13,16.1,16.29,16.16,15.88,26562.13,0.17,1.06,16.682,16.804,17.536,37910.81,43395.38,66362.34,1.38
2016-09-12,16.69,16.69,15.99,15.95,46935.4,-1.08,-6.33,16.874,16.886,17.721,41558.44,45615.18,77898.27,2.43
2016-09-09,17.14,17.38,17.07,17.04,39990.59,-0.12,-0.7,17.006,16.983,17.875,38768.5,50905.6,88305.8,2.07
2016-09-08,16.95,17.23,17.19,16.8,38899.63,0.21,1.24,16.948,17.065,17.889,39568.64,53470.97,89662.31,2.02
2016-09-07,17.12,17.2,17,16.91,37166.31,-0.12,-0.7,16.93,17.199,17.818,46432.52,57508.37,90092.98,1.93
2016-09-06,16.72,17.19,17.12,16.51,44800.28,0.47,2.82,16.926,17.317,17.784,48879.94,59429.72,90880.96,2.32
2016-09-05,16.78,16.9,16.65,16.6,32985.71,-0.12,-0.72,16.898,17.448,17.748,49671.91,61010.76,90545.49,1.71
2016-09-02,16.7,17,16.78,16.6,43991.26,-0.34,-1.99,16.96,17.632,17.726,63042.7,65841.76,90615.65,2.28
2016-09-01,17.15,17.72,17.1,17.1,73219.04,0.11,0.65,17.182,17.827,17.7,67373.3,70415.94,90930.49,3.79
2016-08-31,17,17.09,16.98,16.48,49403.41,0,0,17.468,18.027,17.684,68584.23,76033.47,90692.17,2.56
