date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-14,21.15,21.6,21.35,21.05,35749.42,-0.02,-0.09,21.886,22.42,22.525,64279.51,74579.13,67651.35,0.88
2016-09-13,21.6,21.64,21.37,21.21,49802.42,-0.07,-0.33,22.2,22.536,22.632,72650.5,75927.15,69869.25,1.23
2016-09-12,21.99,22.59,21.44,21.38,79990.5,-1,-4.46,22.578,22.636,22.738,83530.48,75389.3,73820.43,1.98
2016-09-09,22.84,22.85,22.43,22.42,73557.75,-0.4,-1.75,22.854,22.736,22.844,79339.29,70880.53,77994.69,1.82
2016-09-08,22.83,23.15,22.84,22.67,82297.47,-0.07,-0.31,22.962,22.736,22.812,80854.48,68597.91,76473.62,2.03
2016-09-07,23.21,23.34,22.92,22.87,77604.37,-0.33,-1.42,22.954,22.696,22.751,84878.75,67771.47,75682.66,1.92
2016-09-06,22.77,23.43,23.26,22.3,104202.33,0.45,1.97,22.872,22.699,22.717,79203.79,68629.31,74910.29,2.57
2016-09-05,23.08,23.23,22.82,22.72,59034.52,-0.16,-0.7,22.694,22.63,22.685,67248.11,63372.74,73398.43,1.46
2016-09-02,22.65,23.13,22.97,22.64,81133.71,0.16,0.7,22.618,22.611,22.66,62421.77,64731.78,74363.97,2
2016-09-01,22.48,23.36,22.8,22.3,102418.83,0.3,1.33,22.51,22.597,22.645,56341.34,63247.33,73784.1,2.53
2016-08-31,22.65,22.66,22.51,22.19,49229.58,0.17,0.76,22.438,22.629,22.635,50664.18,60723.57,71924.69,1.22
