,code,grade
0,601857,-0.0532151341755
0,601866,-0.0533827888167
0,601872,-0.05248717558
0,601880,-0.0531481744478
0,601886,-0.0527612520998
0,601888,-0.0531458310371
0,601890,-0.0530001160342
0,601898,-0.0533052474381
0,601899,-0.052865678234
0,601901,-0.0534094870616
0,601908,-0.0536269285223
0,601918,-0.0522797967116
0,601919,-0.0530201862404
0,601928,-0.0533612355745
0,601929,-0.0501752650325
0,601933,-0.0536676302538
0,601939,-0.0525552492816
0,601958,-0.0530725406577
0,601965,-0.0528647226152
0,601966,-0.0389307488301
0,601968,-0.0547822729898
0,601969,-0.0504884758996
0,601985,-0.0524955715746
0,601988,-0.0528637202452
0,601989,-0.0533561312031
0,601991,-0.0531735924288
0,601992,-0.0529433995519
0,601996,-0.0499067459145
0,601997,0.123745992337
0,601998,-0.0532334997053
0,601999,-0.050686017359
0,603000,-0.0527836410521
0,603001,-0.052153157513
0,603002,-0.0487098701511
0,603003,-0.0451745824109
0,603005,-0.0442677346871
0,603006,-0.0107373085992
0,603007,-0.0450424239979
0,603008,-0.0440709616525
0,603009,-0.0454692271103
0,603010,-0.0477614797864
0,603011,-0.0308111088895
0,603012,-0.0470757714144
0,603015,-0.0454089612789
0,603016,0.139239709058
0,603017,-0.03725823188
0,603018,-0.0461053573965
0,603019,-0.0513733579893
0,603020,-0.0506264177389
0,603021,-0.0504051841049
