,code,grade
0,601009,-0.0530361783949
0,601012,-0.050459772799
0,601015,-0.0455387131037
0,601016,-0.0534502589873
0,601018,-0.0537618384648
0,601020,-45.4911127997
0,601021,-0.0520484558121
0,601028,-0.0397733461408
0,601038,-0.0487517823131
0,601058,-0.040834615997
0,601069,-0.033315542397
0,601088,-0.053432476734
0,601098,-0.0529380696564
0,601099,-0.0271132876488
0,601100,-0.0498198240008
0,601107,-0.0530077757574
0,601111,-0.0541538673402
0,601113,-0.0526003474631
0,601116,-0.0526403292853
0,601117,-0.0531250133018
0,601118,-0.0531408186641
0,601126,-0.0517802448621
0,601127,-0.0427125700566
0,601137,-0.0529709894928
0,601139,-0.0522382326733
0,601155,-0.0482244759092
0,601158,-0.0529945950664
0,601166,-0.0527982371502
0,601168,-0.0514921837769
0,601169,-0.0519968886211
0,601177,-0.0511664779695
0,601179,-0.0537131556615
0,601188,-0.0526555149845
0,601198,-0.0510724921438
0,601199,-0.0353604947405
0,601208,-0.0525118374375
0,601211,-0.0529015902527
0,601216,-0.0397187950907
0,601218,-0.0493643338684
0,601222,-0.0485031389325
0,601225,-0.0504165796315
0,601226,-0.0486353380737
0,601231,-0.0526558618557
0,601233,-0.0523242232384
0,601238,-0.0533548324443
0,601258,-0.0526934035235
0,601288,-0.0533828556013
0,601311,-0.0514789954746
0,601313,-0.0489926157781
0,601318,-0.0529875631187
