,code,grade
0,1,-0.0536166052576
0,2,-0.0519787864023
0,5,-0.0468200827151
0,6,-0.0760194355184
0,7,-0.0416092822999
0,8,-0.0526628590536
0,10,0.0304894648241
0,11,-0.0579014937209
0,12,-0.0509896064184
0,14,-0.044702418807
0,16,-0.0524263109602
0,17,-0.0498856075478
0,18,-0.0274683540479
0,19,-0.0815417416166
0,20,-0.0474495139327
0,21,-0.0508852066165
0,22,-0.0526808432227
0,23,-0.0421046347849
0,25,-0.0337580128003
0,26,-0.0506800637435
0,27,-0.0538586688661
0,30,-0.0505819763338
0,31,-0.0526868451647
0,32,-0.0523674279536
0,34,-0.0513331426984
0,36,-0.0400204404545
0,38,-0.0428596641359
0,39,-0.0527699765814
0,40,-0.0509623667365
0,42,-0.0554681204652
0,48,-0.0534006915652
0,49,-0.0407230232412
0,55,-0.049702974979
0,56,-0.0538294753955
0,58,-0.0489714956876
0,60,-0.0490376418209
0,61,-0.0532415434132
0,62,-0.0536536975802
0,63,-0.0520533292013
0,66,-0.0517476477326
0,68,-0.0414296577025
0,69,-0.0540322037995
0,70,-0.0417916417
0,78,-0.0443992167102
0,88,-0.0538154784658
0,89,-0.0528378434529
0,90,-0.0782943593968
0,96,-0.0433407595506
0,99,-0.0489656362511
0,150,-0.0524189634493
