,code,grade
0,609,-0.0503409083197
0,610,-0.0341897527946
0,612,-0.0523764678433
0,613,-0.0520023661193
0,616,-0.0489291583009
0,619,-0.027235039707
0,620,-0.0522793951648
0,623,-0.0512516788948
0,625,-0.0528330861104
0,626,-0.0510216677784
0,627,-0.0505452261331
0,628,-0.0419512767555
0,631,-0.0528016323388
0,632,-0.0489713671483
0,633,-0.0428967234801
0,635,-0.0479802250389
0,636,-0.0488817868838
0,637,-0.347219971757
0,638,-0.0294431446095
0,650,-0.0514970443372
0,652,-0.0468847930676
0,655,-0.0519717711716
0,657,-0.043401550071
0,661,-0.052452737244
0,662,-0.0396299745581
0,663,-0.0317325894549
0,665,-0.0507366616791
0,666,-0.0413762270198
0,667,-0.0510471419838
0,668,-0.0516659193959
0,669,-0.053373096813
0,670,-0.0450582421031
0,672,-0.0450519509111
0,676,-0.0501424288862
0,677,-0.0476045963132
0,678,-0.0495181241778
0,679,-0.0442093700418
0,680,-0.0520412363832
0,681,-0.0498510906041
0,682,-0.0500368140687
0,683,-0.0375740482307
0,685,-0.0514140457874
0,687,-0.0500834615335
0,688,-0.0508307566868
0,690,-0.0510577571538
0,691,-0.0504386046281
0,692,-0.0463881027997
0,697,-0.051468787994
0,698,-0.036585479482
0,701,-0.0417658992303
