,code,date,sp,wp
0,000011,2016-08-31,-1.5026143790849673,invalid code
1,000011,2016-09-01,-1.4877340219496449,invalid code
2,000011,2016-09-02,-1.5326666666666666,invalid code
3,000011,2016-09-03,-1.5326666666666666,invalid code
4,000011,2016-09-04,-1.5326666666666666,invalid code
5,000011,2016-09-05,-1.5121457489878543,invalid code
6,000011,2016-09-06,-1.4827586206896552,invalid code
7,000011,2016-09-07,-1.4986754966887417,invalid code
8,000011,2016-09-08,-1.5006626905235254,invalid code
9,000011,2016-09-09,-1.5,invalid code
10,000011,2016-09-10,-1.5,invalid code
11,000011,2016-09-11,-1.5,invalid code
12,000011,2016-09-12,-1.541407867494824,invalid code
13,000011,2016-09-13,-1.4602385685884691,invalid code
14,000011,2016-09-14,-1.4921104536489151,invalid code
0,000012,2016-08-31,-1.4827302631578947,invalid code
1,000012,2016-09-01,-1.4967213114754099,invalid code
2,000012,2016-09-02,-1.5330228619813717,invalid code
3,000012,2016-09-03,-1.5330228619813717,invalid code
4,000012,2016-09-04,-1.5330228619813717,invalid code
5,000012,2016-09-05,-1.5008474576271187,invalid code
6,000012,2016-09-06,-1.484974958263773,invalid code
7,000012,2016-09-07,-1.487633965375103,invalid code
8,000012,2016-09-08,-1.511676396997498,invalid code
9,000012,2016-09-09,-1.505029337803856,invalid code
10,000012,2016-09-10,-1.505029337803856,invalid code
11,000012,2016-09-11,-1.505029337803856,invalid code
12,000012,2016-09-12,-1.5329004329004328,invalid code
13,000012,2016-09-13,-1.5149384885764499,invalid code
14,000012,2016-09-14,-1.5070796460176992,invalid code
0,000014,2016-08-31,-1.503976143141153,invalid code
1,000014,2016-09-01,-1.472450459159014,invalid code
2,000014,2016-09-02,-1.5068126520681266,invalid code
3,000014,2016-09-03,-1.5068126520681266,invalid code
4,000014,2016-09-04,-1.5068126520681266,invalid code
5,000014,2016-09-05,-1.515316205533597,invalid code
6,000014,2016-09-06,-1.5,invalid code
7,000014,2016-09-07,-1.5009891196834817,invalid code
8,000014,2016-09-08,-1.507976071784646,invalid code
9,000014,2016-09-09,-1.4955334987593052,invalid code
10,000014,2016-09-10,-1.4955334987593052,invalid code
11,000014,2016-09-11,-1.4955334987593052,invalid code
12,000014,2016-09-12,-1.5004965243296922,invalid code
13,000014,2016-09-13,-1.5064967516241878,invalid code
14,000014,2016-09-14,-1.5030075187969927,invalid code
0,000016,2016-08-31,-1.4942307692307693,invalid code
1,000016,2016-09-01,-1.5038610038610039,invalid code
2,000016,2016-09-02,-1.5196850393700787,invalid code
3,000016,2016-09-03,-1.5196850393700787,invalid code
4,000016,2016-09-04,-1.5196850393700787,invalid code
5,000016,2016-09-05,-1.5019723865877712,invalid code
6,000016,2016-09-06,-1.4980314960629921,invalid code
7,000016,2016-09-07,-1.49412915851272,invalid code
8,000016,2016-09-08,-1.5078895463510849,invalid code
9,000016,2016-09-09,-1.5,invalid code
10,000016,2016-09-10,-1.5,invalid code
11,000016,2016-09-11,-1.5,invalid code
12,000016,2016-09-12,-1.5346938775510204,invalid code
13,000016,2016-09-13,-1.512396694214876,invalid code
14,000016,2016-09-14,-1.5062370062370063,invalid code
0,000017,2016-08-31,-1.4892183288409702,invalid code
1,000017,2016-09-01,-1.5099818511796734,invalid code
2,000017,2016-09-02,-1.5203703703703704,invalid code
3,000017,2016-09-03,-1.5203703703703704,invalid code
4,000017,2016-09-04,-1.5203703703703704,invalid code
5,000017,2016-09-05,-1.5102899906454632,invalid code
6,000017,2016-09-06,-1.4962721342031686,invalid code
7,000017,2016-09-07,-1.492599444958372,invalid code
8,000017,2016-09-08,-1.4981532779316713,invalid code
9,000017,2016-09-09,-1.5074418604651163,invalid code
10,000017,2016-09-10,-1.5074418604651163,invalid code
11,000017,2016-09-11,-1.5074418604651163,invalid code
12,000017,2016-09-12,-1.512241054613936,invalid code
13,000017,2016-09-13,-1.5066350710900474,invalid code
14,000017,2016-09-14,-1.4990530303030303,invalid code
0,000018,2016-08-31,-1.5009057971014494,invalid code
1,000018,2016-09-01,-1.5128440366972475,invalid code
2,000018,2016-09-02,-1.5167910447761195,invalid code
3,000018,2016-09-03,-1.5167910447761195,invalid code
4,000018,2016-09-04,-1.5167910447761195,invalid code
5,000018,2016-09-05,-1.4944341372912802,invalid code
6,000018,2016-09-06,-1.4889908256880733,invalid code
7,000018,2016-09-07,-1.4646017699115044,invalid code
8,000018,2016-09-08,-1.4511784511784511,invalid code
9,000018,2016-09-09,-1.5285714285714285,invalid code
10,000018,2016-09-10,-1.5285714285714285,invalid code
11,000018,2016-09-11,-1.5285714285714285,invalid code
12,000018,2016-09-12,-1.55,invalid code
13,000018,2016-09-13,-1.5045662100456623,invalid code
14,000018,2016-09-14,-1.5167130919220055,invalid code
0,000019,2016-08-31,-1.4861861861861865,invalid code
1,000019,2016-09-01,-1.4976033553025763,invalid code
2,000019,2016-09-02,-1.5296113510178901,invalid code
3,000019,2016-09-03,-1.5296113510178901,invalid code
4,000019,2016-09-04,-1.5296113510178901,invalid code
5,000019,2016-09-05,-1.477683956574186,invalid code
6,000019,2016-09-06,-1.4656377402446126,invalid code
7,000019,2016-09-07,-1.504093567251462,invalid code
8,000019,2016-09-08,-1.522115959354453,invalid code
9,000019,2016-09-09,-1.5164034021871202,invalid code
10,000019,2016-09-10,-1.5164034021871202,invalid code
11,000019,2016-09-11,-1.5164034021871202,invalid code
12,000019,2016-09-12,-1.568831168831169,invalid code
13,000019,2016-09-13,-1.4765377298668358,invalid code
14,000019,2016-09-14,-1.5038192234245702,invalid code
0,000020,2016-08-31,-1.489366843885935,invalid code
1,000020,2016-09-01,-1.4404545454545454,invalid code
2,000020,2016-09-02,-1.5031919744642044,invalid code
3,000020,2016-09-03,-1.5031919744642044,invalid code
4,000020,2016-09-04,-1.5031919744642044,invalid code
5,000020,2016-09-05,-1.453478260869565,invalid code
6,000020,2016-09-06,-1.4762308998302207,invalid code
7,000020,2016-09-07,-1.5059777967549102,invalid code
8,000020,2016-09-08,-1.5112262521588946,invalid code
9,000020,2016-09-09,-1.496986655187258,invalid code
10,000020,2016-09-10,-1.496986655187258,invalid code
11,000020,2016-09-11,-1.496986655187258,invalid code
12,000020,2016-09-12,-1.552560036248301,invalid code
13,000020,2016-09-13,-1.5100686498855835,invalid code
14,000020,2016-09-14,-1.5106382978723405,invalid code
0,000021,2016-08-31,-1.4945945945945946,invalid code
1,000021,2016-09-01,-1.5164835164835164,invalid code
2,000021,2016-09-02,-1.5139275766016713,invalid code
3,000021,2016-09-03,-1.5139275766016713,invalid code
4,000021,2016-09-04,-1.5139275766016713,invalid code
5,000021,2016-09-05,-1.5009293680297398,invalid code
6,000021,2016-09-06,-1.5018621973929236,invalid code
7,000021,2016-09-07,-1.4623655913978495,invalid code
8,000021,2016-09-08,-1.508130081300813,invalid code
9,000021,2016-09-09,-1.484,invalid code
10,000021,2016-09-10,-1.484,invalid code
11,000021,2016-09-11,-1.484,invalid code
12,000021,2016-09-12,-1.5514018691588787,invalid code
13,000021,2016-09-13,-1.5209923664122136,invalid code
14,000021,2016-09-14,-1.5028708133971294,invalid code
0,000022,2016-08-31,-1.4987841945288753,invalid code
1,000022,2016-09-01,-1.4963658388855239,invalid code
2,000022,2016-09-02,-1.5018203883495147,invalid code
3,000022,2016-09-03,-1.5018203883495147,invalid code
4,000022,2016-09-04,-1.5018203883495147,invalid code
5,000022,2016-09-05,-1.513530135301353,invalid code
6,000022,2016-09-06,-1.492673992673993,invalid code
7,000022,2016-09-07,-1.4963503649635035,invalid code
8,000022,2016-09-08,-1.4957601453664446,invalid code
9,000022,2016-09-09,-1.490996398559424,invalid code
10,000022,2016-09-10,-1.490996398559424,invalid code
11,000022,2016-09-11,-1.490996398559424,invalid code
12,000022,2016-09-12,-1.520208205756277,invalid code
13,000022,2016-09-13,-1.5092707045735474,invalid code
14,000022,2016-09-14,-1.4987654320987656,invalid code
0,000023,2016-08-31,-1.4988801791713326,invalid code
1,000023,2016-09-01,-1.47170837867247,invalid code
2,000023,2016-09-02,-1.5192236598890942,invalid code
3,000023,2016-09-03,-1.5192236598890942,invalid code
4,000023,2016-09-04,-1.5192236598890942,invalid code
5,000023,2016-09-05,-1.4879474068663259,invalid code
6,000023,2016-09-06,-1.5010968921389396,invalid code
7,000023,2016-09-07,-1.4698581560283688,invalid code
8,000023,2016-09-08,-1.5310786106032905,invalid code
9,000023,2016-09-09,-1.4820466786355475,invalid code
10,000023,2016-09-10,-1.4820466786355475,invalid code
11,000023,2016-09-11,-1.4820466786355475,invalid code
12,000023,2016-09-12,-1.4939329050678087,invalid code
13,000023,2016-09-13,-1.513381555153707,invalid code
14,000023,2016-09-14,-1.464086471408647,invalid code
0,000025,2016-08-31,-1.5013420817178647,invalid code
1,000025,2016-09-01,-1.4923054158034923,invalid code
2,000025,2016-09-02,-1.5013335308934657,invalid code
