,index_x,Unnamed: 0,Unnamed: 0.1,code,date,emo,HIM,SMB ,turnover,index_y,id,sp,wp
0,1,1,0,000001,2016-09-01,5.0111167289438665,0.0011239444623263508,0.0003162370744474504,0.33,0,0,-1.4968387776606955,-1.497285440049518
1,16,16,0,000002,2016-09-01,4.9768929554822385,0.0011239444623263508,0.0003162370744474504,2.64,0,0,-1.4072,-1.497285440049518
2,42,42,0,000005,2016-09-01,4.949098081449646,0.0011239444623263508,0.0003162370744474504,1.19,0,0,-1.4946524064171123,-1.497285440049518
3,57,57,0,000006,2016-09-01,4.939550113378687,0.0011239444623263508,0.0003162370744474504,1.83,0,0,-1.475323149236193,-1.497285440049518
4,72,72,0,000007,2016-09-01,4.997796675686127,0.0011239444623263508,0.0003162370744474504,5.47,0,0,-1.439111111111111,-1.497285440049518
5,87,87,0,000008,2016-09-01,4.985382978723403,0.0011239444623263508,0.0003162370744474504,0.47,0,0,-1.481151832460733,-1.497285440049518
6,109,109,0,000010,2016-09-01,4.972485770750988,0.0011239444623263508,0.0003162370744474504,6.4,0,0,-1.4879227053140096,-1.497285440049518
7,124,124,0,000011,2016-09-01,4.907709151883541,0.0011239444623263508,0.0003162370744474504,6.46,0,0,-1.4877340219496449,-1.497285440049518
8,139,139,0,000012,2016-09-01,4.9761925787245165,0.0011239444623263508,0.0003162370744474504,1.37,0,0,-1.4967213114754099,-1.497285440049518
9,154,154,0,000014,2016-09-01,4.900090725806452,0.0011239444623263508,0.0003162370744474504,1.73,0,0,-1.472450459159014,-1.497285440049518
10,169,169,0,000016,2016-09-01,5.015568605307736,0.0011239444623263508,0.0003162370744474504,0.99,0,0,-1.5038610038610039,-1.497285440049518
11,183,183,0,000017,2016-09-01,4.921564660766963,0.0011239444623263508,0.0003162370744474504,1.99,0,0,-1.5099818511796734,-1.497285440049518
12,198,198,0,000018,2016-09-01,4.977663666245261,0.0011239444623263508,0.0003162370744474504,1.88,0,0,-1.5128440366972475,-1.497285440049518
13,212,212,0,000019,2016-09-01,4.958195527669355,0.0011239444623263508,0.0003162370744474504,10.24,0,0,-1.4976033553025763,-1.497285440049518
14,227,227,0,000020,2016-09-01,4.944047782185359,0.0011239444623263508,0.0003162370744474504,6.76,0,0,-1.4404545454545454,-1.497285440049518
15,241,241,0,000021,2016-09-01,5.009623093681917,0.0011239444623263508,0.0003162370744474504,1.09,0,0,-1.5164835164835164,-1.497285440049518
16,258,258,0,000022,2016-09-01,5.0407023144453325,0.0011239444623263508,0.0003162370744474504,0.57,0,0,-1.4963658388855239,-1.497285440049518
17,264,264,0,000023,2016-09-01,5.0078732718894035,0.0011239444623263508,0.0003162370744474504,4.03,0,0,-1.47170837867247,-1.497285440049518
18,278,278,0,000025,2016-09-01,4.970746353542719,0.0011239444623263508,0.0003162370744474504,2.08,0,0,-1.4923054158034923,-1.497285440049518
19,293,293,0,000026,2016-09-01,4.9890549450549475,0.0011239444623263508,0.0003162370744474504,1.28,0,0,-1.484974958263773,-1.497285440049518
20,305,305,0,000027,2016-09-01,4.997346351490237,0.0011239444623263508,0.0003162370744474504,0.34,0,0,-1.4985569985569986,-1.497285440049518
21,340,340,0,000030,2016-09-01,4.985903511650807,0.0011239444623263508,0.0003162370744474504,1.03,0,0,-1.5116279069767442,-1.497285440049518
22,354,354,0,000031,2016-09-01,4.973427254992835,0.0011239444623263508,0.0003162370744474504,1.41,0,0,-1.4941634241245136,-1.497285440049518
23,369,369,0,000032,2016-09-01,4.952477419354839,0.0011239444623263508,0.0003162370744474504,1.51,0,0,-1.4966510381781648,-1.497285440049518
24,398,398,0,000034,2016-09-01,4.920612949094702,0.0011239444623263508,0.0003162370744474504,0.98,0,0,-1.4958118556701032,-1.497285440049518
25,426,426,0,000036,2016-09-01,4.996036038690038,0.0011239444623263508,0.0003162370744474504,1.74,0,0,-1.4966592427616925,-1.497285440049518
26,451,451,0,000038,2016-09-01,4.959492688413949,0.0011239444623263508,0.0003162370744474504,5.23,0,0,-1.4828865979381443,-1.497285440049518
27,466,466,0,000039,2016-09-01,4.987698187163155,0.0011239444623263508,0.0003162370744474504,1.77,0,0,-1.454,-1.497285440049518
28,481,481,0,000040,2016-09-01,4.792074074074074,0.0011239444623263508,0.0003162370744474504,1.28,0,0,-1.4963689179375455,-1.497285440049518
29,493,493,0,000042,2016-09-01,4.9264587412587435,0.0011239444623263508,0.0003162370744474504,0.28,0,0,-1.4960139511709019,-1.497285440049518
30,528,528,0,000048,2016-09-01,4.947392936308557,0.0011239444623263508,0.0003162370744474504,0.21,0,0,-1.5126509488211615,-1.497285440049518
31,550,550,0,000049,2016-09-01,5.667142857142857,0.0011239444623263508,0.0003162370744474504,1.61,0,0,-1.5163766632548619,-1.497285440049518
32,567,567,0,000055,2016-09-01,5.000799063231852,0.0011239444623263508,0.0003162370744474504,2.71,0,0,-1.4876140808344198,-1.497285440049518
33,578,578,0,000056,2016-09-01,5.0000930232558165,0.0011239444623263508,0.0003162370744474504,1.12,0,0,-1.4924924924924925,-1.497285440049518
34,590,590,0,000058,2016-09-01,4.998929592959296,0.0011239444623263508,0.0003162370744474504,1.17,0,0,-1.5106571936056838,-1.497285440049518
35,616,616,0,000060,2016-09-01,4.884355158259603,0.0011239444623263508,0.0003162370744474504,2.1,0,0,-1.4963302752293577,-1.497285440049518
36,629,629,0,000061,2016-09-01,4.988594785442695,0.0011239444623263508,0.0003162370744474504,0.62,0,0,-1.489641434262948,-1.497285440049518
